repl1_before,repl1_after,repl2_before,repl2_after
15,6,11,14
8,1,6,5
8,6,3,11
15,16,8,9
50,41,47,23
10,11,14,14
23,10,19,33
30,50,15,26
7,5,6,3
16,28,14,14
9,7,14,14
23,18,19,19
14,14,15,25
24,14,25,36
12,1,14,2
12,20,21,7
21,24,24,18
24,16,19,2
12,11,6,8
8,5,14,18
28,36,38,33
45,20,17,33
29,22,11,10
12,0,11,5
36,27,49,18
22,43,15,33
13,47,17,26
33,90,33,26
17,45,10,15
11,49,21,7
9,7,11,13
15,20,15,30
22,11,16,25
12,0,11,18
24,23,26,22
6,11,4,6
19,38,20,14
10,13,9,15
23,19,23,13
21,19,17,47
26,25,23,32
25,35,23,23
32,23,47,40
26,9,23,68
4,3,4,10
25,23,28,27
15,10,18,8
9,14,17,14
17,22,19,12
6,3,2,1
8,7,8,16
7,16,19,11
11,16,10,16
21,26,15,23
6,13,6,12
3,2,4,3
17,5,18,8
16,39,24,13
10,0,14,23
9,5,6,1
3,1,3,0
12,10,20,11
14,14,13,7
11,4,6,9
8,9,13,12
20,12,13,5
36,30,35,52
10,6,7,3
23,29,21,29
25,10,7,7
21,28,16,17
9,12,3,21
34,64,41,15
9,2,9,16
27,12,20,7
28,4,19,42
27,17,20,13
23,26,30,27
10,9,11,14
27,38,19,15
13,6,5,12
4,2,4,2
13,16,9,6
17,35,15,24
70,83,52,32
25,16,26,21
18,23,24,16
18,20,22,21
7,6,3,9
7,7,7,3
20,7,15,9
13,4,19,20
3,1,3,1
19,5,11,6
46,57,50,25
31,22,11,9
12,13,8,4
14,19,15,31
22,5,18,8
12,10,13,12
17,7,8,4
12,7,15,10
12,8,10,1
14,21,9,14
14,5,8,11
17,18,17,15
8,18,7,10
5,10,5,5
12,12,10,22
11,16,7,5
4,1,0,4
12,11,12,14
21,19,34,17
27,8,27,13
23,21,34,8
27,20,19,21
11,6,15,9
5,6,8,9
15,16,17,23
12,10,16,23
22,6,22,35
12,2,22,16
19,18,11,10
16,11,8,18
28,8,28,27
36,13,34,36
18,22,20,22
19,5,20,11
7,10,15,24
10,5,7,10
12,26,9,25
6,3,8,3
28,43,19,35
21,29,23,20
53,13,30,21
34,18,35,47
16,19,15,23
7,9,8,7
23,21,31,16
31,37,55,30
11,15,7,6
11,3,7,4
45,10,44,37
3,4,3,1
18,34,19,25
30,24,25,39
25,31,17,12
24,13,26,23
16,21,14,24
21,21,23,22
15,17,15,12
2,4,1,6
21,21,12,8
6,5,7,6
8,5,16,13
26,39,18,17
