"sim17_repl1_input","sim17_repl1_high","sim17_repl1_med","sim17_repl1_low","sim17_repl2_input","sim17_repl2_high","sim17_repl2_med","sim17_repl2_low"
6,9,12,20,15,27,13,28
0,0,0,0,14,23,14,5
38,47,34,72,7,5,16,22
5,8,9,8,0,2,5,0
1,7,10,2,12,7,9,8
10,8,9,3,2,1,2,0
19,17,17,24,26,26,22,16
1,3,2,0,13,24,24,36
62,56,62,44,0,0,0,0
1,1,2,2,15,9,6,5
21,29,25,12,6,4,9,2
0,3,6,8,30,28,19,30
5,7,6,4,15,16,12,9
1,2,2,2,29,46,30,15
5,8,8,5,18,18,18,5
1,4,6,4,0,1,4,0
5,4,2,7,0,0,0,0
15,15,16,1,0,0,0,0
59,55,58,79,7,5,3,7
60,62,51,43,0,1,1,0
42,33,23,23,1,2,0,0
0,0,0,0,0,0,0,1
34,30,37,85,0,0,0,0
13,23,30,20,15,32,20,30
19,14,21,17,90,102,69,59
86,97,70,213,18,20,14,9
0,0,0,0,3,3,2,5
1,0,0,1,9,6,8,0
2,1,2,0,10,6,10,3
4,0,4,1,11,13,9,4
91,75,74,132,41,32,40,27
36,35,43,3,29,35,32,40
7,8,11,21,0,0,0,0
26,13,24,47,7,4,11,9
17,23,14,1,8,7,6,19
6,2,8,47,36,43,40,7
12,15,27,17,1,3,3,3
45,56,57,22,1,4,3,2
3,1,5,2,34,27,37,45
4,1,3,1,1,2,2,0
50,29,48,52,0,0,0,0
10,8,10,22,0,0,1,1
2,3,4,2,87,78,53,123
0,0,0,0,0,0,0,0
0,0,1,1,9,7,9,3
1,1,1,0,10,15,11,9
109,111,103,66,4,6,1,3
0,0,0,0,0,0,0,2
2,4,5,7,35,31,32,13
43,50,31,39,4,10,9,6
0,0,0,0,5,5,4,1
7,14,8,5,0,1,1,0
1,1,0,2,7,7,9,2
60,80,87,122,3,2,0,3
6,6,5,2,0,0,0,0
57,69,60,54,12,17,12,13
17,22,23,13,41,40,46,0
7,7,7,19,23,7,14,24
7,11,10,10,0,0,1,0
1,1,1,0,0,0,0,0
1,3,6,7,8,9,16,1
11,7,7,10,68,64,67,74
50,47,42,1,17,16,17,16
23,24,20,56,4,4,4,5
4,5,3,2,10,10,11,1
0,1,0,2,17,24,20,81
17,12,18,3,32,26,34,4
52,50,28,18,29,38,19,33
0,0,0,1,0,0,0,0
14,11,13,13,0,0,0,2
9,14,11,5,7,5,4,2
5,0,4,14,2,8,4,19
0,0,1,0,46,48,38,13
37,44,41,47,11,10,3,1
0,1,0,1,0,0,0,0
19,28,21,24,0,0,0,1
21,31,15,9,16,15,21,19
0,0,0,0,12,16,17,9
8,8,3,11,5,6,4,2
4,6,6,5,60,71,70,64
13,13,9,0,16,18,19,29
2,10,3,6,46,31,38,25
0,0,0,0,1,2,0,0
72,87,51,8,17,24,13,11
44,34,52,7,1,4,0,0
0,0,0,1,3,2,2,2
0,0,0,0,0,0,0,0
44,40,45,80,0,0,0,0
12,5,4,13,1,1,3,2
1,0,0,0,20,19,27,3
0,0,0,0,50,56,42,95
0,0,1,1,17,9,16,6
0,0,0,0,2,3,1,2
0,0,0,0,10,18,8,12
25,34,23,16,3,0,2,5
21,18,21,6,6,11,9,1
11,12,14,14,6,3,7,4
1,2,2,3,1,4,2,3
20,21,15,14,0,2,0,0
17,15,18,8,18,25,24,20
7,9,13,5,0,4,1,2
2,6,1,5,0,1,0,0
31,27,17,13,12,10,6,20
38,38,66,41,26,30,21,12
15,21,14,43,7,6,4,13
16,13,12,10,25,36,25,48
0,0,0,0,23,13,16,14
9,4,6,13,94,99,94,322
16,20,21,31,2,4,2,7
30,42,27,49,11,9,14,8
0,0,0,0,5,7,4,30
5,11,10,8,18,21,19,0
53,40,44,18,4,10,11,6
5,3,3,11,1,1,0,0
9,11,9,17,26,36,12,8
10,4,7,4,55,59,69,64
2,5,4,10,49,43,57,9
0,0,0,0,30,32,33,16
43,39,42,27,42,39,42,17
0,0,0,0,6,10,13,9
39,40,42,78,80,74,83,45
25,21,11,15,5,4,10,14
4,6,3,5,28,19,22,3
14,6,9,6,12,9,16,17
1,0,0,1,8,8,4,14
1,1,0,0,52,43,45,41
23,21,19,92,47,41,49,35
