"sim1_repl1_before","sim1_repl1_after","sim1_repl2_before","sim1_repl2_after"
2969,6286,3587,4055
3003,3072,3585,3819
2817,3275,3028,1473
3370,2668,4219,4403
992,1584,1059,904
2195,2142,3222,2776
963,1549,1021,1388
2164,2105,3085,839
1861,2035,2897,5599
1217,1245,974,1091
935,900,716,1050
2221,3298,2855,2232
2331,4084,2879,6241
457,745,642,611
953,1476,788,444
1646,1407,2522,2489
1081,3194,1631,2043
3764,2906,3971,1894
1670,1271,2193,1618
948,965,1345,1496
1676,2650,2983,1912
1345,1150,2088,2054
1159,1347,1612,1186
2061,1757,2109,598
421,527,674,786
697,681,760,717
782,1045,1242,924
1228,2088,1742,3532
415,210,418,202
493,830,516,723
2238,1238,2307,2546
1395,2767,2102,2003
1145,2396,1100,1666
347,652,587,409
1373,1957,1901,1875
826,1215,931,1326
2048,2219,2217,1919
1332,2130,1818,1872
1009,750,1391,2299
2339,3063,2878,2455
1501,1732,1669,1108
1321,2559,1403,1324
414,607,304,122
545,753,637,883
1468,1946,1720,2041
2059,3640,2844,3862
2428,2154,2783,2440
477,349,417,401
3129,2065,3583,3698
670,748,1058,1736
1699,2304,1991,1999
3822,5295,4760,6447
2086,1987,2441,2077
914,1050,1208,2584
3326,3819,3132,6549
816,808,1058,378
1171,2590,1197,2065
4815,11505,5224,6919
1723,1609,2353,3441
3686,4420,4079,6345
1181,280,1176,1338
2409,3555,2741,3127
1115,1254,1810,2411
1674,2554,1959,2972
612,688,732,801
856,1470,1132,817
540,647,658,1251
344,663,488,210
792,738,1543,1128
1924,499,2292,1402
3905,1865,4987,4220
1219,1071,1700,1296
2567,2056,2955,1055
1887,944,2688,4739
934,1152,1198,1785
2022,3692,3132,2386
849,1534,1148,1358
3766,4064,3842,917
666,543,877,946
919,1447,1100,646
1111,1930,1725,2246
2201,1948,2667,1801
2236,3120,2811,1502
178,263,105,178
3366,3672,4296,5114
1810,2961,2028,2867
2022,1200,2356,2207
1248,2167,1817,2198
913,884,1037,685
492,876,815,617
1151,4059,2274,3844
510,209,479,530
1004,1432,885,1232
486,272,664,293
280,586,574,352
1672,770,1889,3417
2154,2697,3092,3476
2679,2567,3306,4711
1926,2212,2157,2502
1799,2590,1737,637
2555,3343,2785,2182
2034,2298,3129,3624
2251,3008,3245,5009
395,452,348,315
1245,649,1420,2822
646,702,770,765
1396,796,1850,2249
2998,2981,3121,4831
2987,2529,3314,3627
400,805,535,407
2335,1573,3423,1466
1122,1150,1454,736
4731,11487,4580,8583
234,205,361,231
3393,4928,4031,5826
1018,1054,1713,1494
1139,1059,2040,1054
3343,5497,3869,4164
716,794,953,1483
2211,1472,2553,2407
2726,4600,2454,1548
1973,3173,1962,2522
3880,2994,5627,9451
2347,6528,2804,1904
1455,1220,1961,2713
1292,1885,1504,1871
833,694,985,304
1163,1234,1439,1839
2784,2354,3092,5405
1040,551,1228,1937
431,548,476,465
596,629,605,796
1750,1586,1929,1154
451,1275,647,563
1748,3534,1618,2166
1203,1573,1612,1796
1371,2173,1160,1125
942,1410,1400,2320
1458,2563,1894,2243
1951,1754,2036,2259
1354,2360,1709,1889
1984,2757,2642,6176
1457,1184,1492,507
1046,1541,1476,3064
2036,1095,2471,1892
3392,3438,956,1327
2491,2583,3195,2870
2257,2088,2869,5126
953,563,1113,1550
1625,2062,1763,2407
2213,3094,2051,2293
574,1106,805,629
7348,9024,9113,15028
598,833,874,1311
1905,1084,2093,1113
1723,2073,1944,800
1353,1764,1641,1305
672,905,764,424
1516,863,1659,1491
2185,2908,2468,1685
1407,1378,1370,1773
333,346,673,265
511,347,638,1348
2147,3208,2754,3717
846,546,1257,893
1192,971,1494,2293
1732,3163,2265,3565
1565,3104,2312,1996
2603,2406,2766,1699
2200,2097,3062,4814
1546,1438,2182,2233
1141,1092,1069,1763
2943,4947,3398,1562
1228,3369,1560,1506
2472,2019,3195,1508
2360,3784,2240,1998
2479,3155,3239,2899
596,1361,754,1587
1691,1806,2394,3492
4172,3380,4214,7864
2033,3296,2408,4340
646,332,912,1726
3389,4548,2842,2017
359,576,619,962
3103,4043,3360,2113
3201,6706,4064,6998
2235,3988,2213,3113
1568,3660,2341,1920
1800,959,2570,5770
2769,4351,2644,2367
623,633,1095,969
1318,921,1508,2154
856,762,912,307
1740,1806,2189,623
1403,1482,1930,1723
2890,3705,3596,4144
514,459,600,517
843,947,1233,979
1893,1140,1789,2343
1396,1059,1506,1217
1031,773,948,732
4705,11039,5718,3127
1295,1656,1714,2757
1307,1100,1860,1389
2003,1528,2025,1354
3223,1625,4294,4668
2274,2237,2827,4726
1208,2247,1552,1982
1316,1215,1523,1379
3022,2584,2827,4249
140,126,136,133
1427,2914,1674,2567
1514,1218,1797,2438
451,227,446,760
1745,1264,2417,1690
1151,3424,1082,1343
2473,489,3507,4927
2256,2858,2843,3890
1452,1899,1902,1046
2385,1736,2887,3385
1608,712,1791,946
3141,6699,4089,5258
1357,2291,1391,2052
2058,3465,2142,2480
3445,4152,4511,3577
1411,2328,1572,418
2261,3579,2689,2542
2706,2674,3088,5885
1904,2288,2011,1281
1317,873,1716,2740
1020,989,988,547
1289,1698,1698,1876
947,623,1045,673
4975,4057,4710,10790
224,314,346,330
852,674,1097,666
2015,3956,2596,1809
1169,2150,1112,1381
1943,1731,1845,5274
521,875,731,445
2063,2332,3001,2931
