"chrom","label","start","end"
"chr6","chr",30132134,30135081
"chr6","chr",30132154,30136329
"chr6","chr",30132159,30139582
"chr6","chr",30132333,30135422
"chr6","chr",30132384,30136433
"chr6","chr",30132465,30135467
"chr6","chr",30132704,30135599
"chr6","chr",30132705,30136787
"chr6","chr",30134702,30135634
"chr6","chr",30134819,30135905
"chr6","chr",30134952,30135926
"chr6","chr",30134969,30137612
"chr6","chr",30135033,30140722
"chr6","chr",30135062,30136074
"chr6","chr",30135178,30136293
"chr6","chr",30135413,30136351
"chr6","chr",30135509,30138329
"chr6","chr",30135523,30136529
"chr6","chr",30135633,30136792
"chr6","chr",30135656,30141180
"chr6","chr",30135703,30138378
"chr6","chr",30135795,30137041
"chr6","chr",30135905,30137128
"chr6","chr",30136057,30137516
"chr6","chr",30136075,30138690
"chr6","chr",30136244,30137563
"chr6","chr",30136350,30137651
"chr6","chr",30136419,30139472
"chr6","chr",30136484,30137827
"chr6","chr",30136766,30137972
"chr6","chr",30136786,30140127
"chr6","chr",30136802,30143132
"chr6","chr",30136966,30138177
"chr6","chr",30137059,30138273
"chr6","chr",30137421,30138324
"chr6","chr",30137523,30138479
"chr6","chr",30137598,30140406
"chr6","chr",30137646,30149159
"chr6","chr",30137650,30138629
"chr6","chr",30137781,30138832
"chr6","chr",30137943,30139313
"chr6","chr",30137987,30140717
"chr6","chr",30138042,30139449
"chr6","chr",30138212,30139540
"chr6","chr",30138309,30139604
"chr6","chr",30138348,30140854
"chr6","chr",30138427,30140059
"chr6","chr",30138511,30152045
"chr6","chr",30138577,30140110
"chr6","chr",30138689,30141160
"chr6","chr",30138695,30140350
"chr6","chr",30139012,30140397
"chr6","chr",30139397,30140566
"chr6","chr",30139464,30142192
"chr6","chr",30139500,30140703
"chr6","chr",30139581,30152901
"chr6","chr",30139618,30140848
"chr6","chr",30139683,30143079
"chr6","chr",30139914,30141138
"chr6","chr",30140117,30142021
"chr6","chr",30140259,30142025
"chr6","chr",30140369,30142185
"chr6","chr",30140386,30143353
"chr6","chr",30140411,30153470
"chr6","chr",30140563,30142515
"chr6","chr",30140587,30147936
"chr6","chr",30140716,30142534
"chr6","chr",30140802,30149147
"chr6","chr",30140858,30142932
"chr6","chr",30140929,30154030
"chr6","chr",30141145,30143077
"chr6","chr",30141152,30150026
"chr6","chr",30141918,30143180
"chr6","chr",30142024,30143334
"chr6","chr",30142171,30143446
"chr6","chr",30142186,30150084
NA,"neg",NA,NA
