"chrom","start","end","enhancerStrength"
"chr8",128713849,128713899,0.354570121248477
"chr8",128715472,128715522,0.376440979786748
"chr8",128747535,128747585,0.734449217072656
"chr8",128780985,128781035,0.376279709707896
"chr8",128830672,128830722,0.483728375240326
"chr8",128930398,128930448,0.431856917333044
"chr8",128937306,128937356,0.618733107073651
"chr8",128942992,128943042,0.514181460275952
"chr8",128951475,128951525,0.418186333301204
"chr8",128995565,128995615,0.679173490369045
"chr8",129043193,129043243,0.355476698580021
"chr8",129059697,129059747,0.478140936789985
"chr8",129078122,129078172,0.719676829354134
"chr8",129115284,129115334,0.411677789137873
"chr8",129177111,129177161,0.238763786323749
"chr8",129205076,129205126,0.512844355535278
"chr8",129227213,129227263,0.603966352379115
"chr8",129237251,129237301,0.636420859972094
"chr8",129253820,129253870,0.480211447738432
"chr8",129271246,129271296,0.234419592269599
"chr8",129276309,129276359,0.683054277425203
"chr8",129287801,129287851,0.254506661359404
"chr8",129295171,129295221,0.607082208185179
"chr8",129302350,129302400,0.757182286829324
"chr8",129342313,129342363,0.360225019505894
