"chrom","label","start","end"
"chr8","chr",128703371,128703391
"chr8","chr",128703511,128703531
"chr8","chr",128703521,128703541
"chr8","chr",128703539,128703559
"chr8","chr",128703540,128703560
"chr8","chr",128703540,128703560
"chr8","chr",128703541,128703561
"chr8","chr",128703544,128703564
"chr8","chr",128703614,128703634
"chr8","chr",128703615,128703635
"chr8","chr",128703616,128703636
"chr8","chr",128703631,128703651
"chr8","chr",128703645,128703665
"chr8","chr",128703646,128703666
"chr8","chr",128703668,128703688
"chr8","chr",128703706,128703726
"chr8","chr",128703707,128703727
"chr8","chr",128703715,128703735
"chr8","chr",128703748,128703768
"chr8","chr",128703749,128703769
"chr8","chr",128703787,128703807
"chr8","chr",128703793,128703813
"chr8","chr",128703794,128703814
"chr8","chr",128703798,128703818
"chr8","chr",128703799,128703819
"chr8","chr",128703800,128703820
"chr8","chr",128703816,128703836
"chr8","chr",128703817,128703837
"chr8","chr",128703818,128703838
"chr8","chr",128703880,128703900
"chr8","chr",128703881,128703901
"chr8","chr",128703882,128703902
"chr8","chr",128703888,128703908
"chr8","chr",128703889,128703909
"chr8","chr",128703893,128703913
"chr8","chr",128703957,128703977
"chr8","chr",128703988,128704008
"chr8","chr",128704023,128704043
"chr8","chr",128704036,128704056
"chr8","chr",128704088,128704108
"chr8","chr",128704094,128704114
"chr8","chr",128704097,128704117
"chr8","chr",128704168,128704188
"chr8","chr",128704174,128704194
"chr8","chr",128704175,128704195
"chr8","chr",128704176,128704196
"chr8","chr",128704177,128704197
"chr8","chr",128704215,128704235
"chr8","chr",128704218,128704238
"chr8","chr",128704316,128704336
"chr8","chr",128704326,128704346
"chr8","chr",128704355,128704375
"chr8","chr",128704404,128704424
"chr8","chr",128704416,128704436
"chr8","chr",128704446,128704466
"chr8","chr",128704452,128704472
"chr8","chr",128704468,128704488
"chr8","chr",128704469,128704489
"chr8","chr",128704473,128704493
"chr8","chr",128704482,128704502
"chr8","chr",128704486,128704506
"chr8","chr",128704497,128704517
"chr8","chr",128704523,128704543
"chr8","chr",128704524,128704544
"chr8","chr",128704532,128704552
"chr8","chr",128704532,128704552
"chr8","chr",128704540,128704560
"chr8","chr",128704541,128704561
"chr8","chr",128704560,128704580
"chr8","chr",128704570,128704590
"chr8","chr",128704578,128704598
"chr8","chr",128704613,128704633
"chr8","chr",128704643,128704663
"chr8","chr",128704646,128704666
"chr8","chr",128704649,128704669
"chr8","chr",128704653,128704673
"chr8","chr",128704654,128704674
"chr8","chr",128704655,128704675
"chr8","chr",128704656,128704676
"chr8","chr",128704664,128704684
"chr8","chr",128704665,128704685
"chr8","chr",128704688,128704708
"chr8","chr",128704694,128704714
"chr8","chr",128704704,128704724
"chr8","chr",128704707,128704727
"chr8","chr",128704709,128704729
"chr8","chr",128704710,128704730
"chr8","chr",128704741,128704761
"chr8","chr",128704748,128704768
"chr8","chr",128704775,128704795
"chr8","chr",128704779,128704799
"chr8","chr",128704784,128704804
"chr8","chr",128704787,128704807
"chr8","chr",128704792,128704812
"chr8","chr",128704840,128704860
"chr8","chr",128705107,128705127
"chr8","chr",128705122,128705142
"chr8","chr",128705155,128705175
"chr8","chr",128705162,128705182
"chr8","chr",128705174,128705194
"chr8","chr",128705183,128705203
"chr8","chr",128705235,128705255
"chr8","chr",128705246,128705266
"chr8","chr",128705247,128705267
"chr8","chr",128705256,128705276
"chr8","chr",128705262,128705282
"chr8","chr",128705279,128705299
"chr8","chr",128705284,128705304
"chr8","chr",128705305,128705325
"chr8","chr",128705308,128705328
"chr8","chr",128705323,128705343
"chr8","chr",128705324,128705344
"chr8","chr",128705332,128705352
"chr8","chr",128705353,128705373
"chr8","chr",128705398,128705418
"chr8","chr",128705401,128705421
"chr8","chr",128705405,128705425
"chr8","chr",128705413,128705433
"chr8","chr",128705459,128705479
"chr8","chr",128705463,128705483
"chr8","chr",128705465,128705485
"chr8","chr",128705516,128705536
"chr8","chr",128705530,128705550
"chr8","chr",128705567,128705587
"chr8","chr",128705568,128705588
"chr8","chr",128705580,128705600
"chr8","chr",128705581,128705601
"chr8","chr",128705588,128705608
"chr8","chr",128705614,128705634
"chr8","chr",128705615,128705635
"chr8","chr",128705680,128705700
"chr8","chr",128705682,128705702
"chr8","chr",128705685,128705705
"chr8","chr",128705688,128705708
"chr8","chr",128705691,128705711
"chr8","chr",128705692,128705712
"chr8","chr",128705695,128705715
"chr8","chr",128705713,128705733
"chr8","chr",128705722,128705742
"chr8","chr",128705723,128705743
"chr8","chr",128705724,128705744
"chr8","chr",128705726,128705746
"chr8","chr",128705747,128705767
"chr8","chr",128705766,128705786
"chr8","chr",128705767,128705787
"chr8","chr",128705768,128705788
"chr8","chr",128705774,128705794
"chr8","chr",128705799,128705819
"chr8","chr",128705812,128705832
"chr8","chr",128705845,128705865
"chr8","chr",128705880,128705900
"chr8","chr",128705888,128705908
"chr8","chr",128705889,128705909
"chr8","chr",128705901,128705921
"chr8","chr",128705912,128705932
"chr8","chr",128705918,128705938
"chr8","chr",128705926,128705946
"chr8","chr",128705935,128705955
"chr8","chr",128705984,128706004
"chr8","chr",128705985,128706005
"chr8","chr",128705988,128706008
"chr8","chr",128705993,128706013
"chr8","chr",128705997,128706017
"chr8","chr",128706006,128706026
"chr8","chr",128706018,128706038
"chr8","chr",128706019,128706039
"chr8","chr",128706029,128706049
"chr8","chr",128706037,128706057
"chr8","chr",128706048,128706068
"chr8","chr",128706061,128706081
"chr8","chr",128706069,128706089
"chr8","chr",128706076,128706096
"chr8","chr",128706080,128706100
"chr8","chr",128706081,128706101
"chr8","chr",128706094,128706114
"chr8","chr",128706108,128706128
"chr8","chr",128706109,128706129
"chr8","chr",128706112,128706132
"chr8","chr",128706114,128706134
"chr8","chr",128706120,128706140
"chr8","chr",128706121,128706141
"chr8","chr",128706122,128706142
"chr8","chr",128706124,128706144
"chr8","chr",128706141,128706161
"chr8","chr",128706154,128706174
"chr8","chr",128706157,128706177
"chr8","chr",128706187,128706207
"chr8","chr",128706188,128706208
"chr8","chr",128706192,128706212
"chr8","chr",128706197,128706217
"chr8","chr",128706202,128706222
"chr8","chr",128706207,128706227
"chr8","chr",128706240,128706260
"chr8","chr",128706241,128706261
"chr8","chr",128706242,128706262
"chr8","chr",128706282,128706302
"chr8","chr",128706286,128706306
"chr8","chr",128706298,128706318
"chr8","chr",128706300,128706320
"chr8","chr",128706314,128706334
"chr8","chr",128706314,128706334
"chr8","chr",128706327,128706347
"chr8","chr",128706331,128706351
"chr8","chr",128706341,128706361
"chr8","chr",128706344,128706364
"chr8","chr",128706349,128706369
"chr8","chr",128706367,128706387
"chr8","chr",128706370,128706390
"chr8","chr",128706379,128706399
"chr8","chr",128706381,128706401
"chr8","chr",128706385,128706405
"chr8","chr",128706388,128706408
"chr8","chr",128706397,128706417
"chr8","chr",128706398,128706418
"chr8","chr",128706430,128706450
"chr8","chr",128706433,128706453
"chr8","chr",128706434,128706454
"chr8","chr",128706441,128706461
"chr8","chr",128706454,128706474
"chr8","chr",128706468,128706488
"chr8","chr",128706477,128706497
"chr8","chr",128706498,128706518
"chr8","chr",128706512,128706532
"chr8","chr",128706519,128706539
"chr8","chr",128706522,128706542
"chr8","chr",128706538,128706558
"chr8","chr",128706539,128706559
"chr8","chr",128706567,128706587
"chr8","chr",128706596,128706616
"chr8","chr",128706601,128706621
"chr8","chr",128706602,128706622
"chr8","chr",128706603,128706623
"chr8","chr",128706609,128706629
"chr8","chr",128706624,128706644
"chr8","chr",128706631,128706651
"chr8","chr",128706632,128706652
"chr8","chr",128706636,128706656
"chr8","chr",128706639,128706659
"chr8","chr",128706654,128706674
"chr8","chr",128706655,128706675
"chr8","chr",128706656,128706676
"chr8","chr",128706663,128706683
"chr8","chr",128706669,128706689
"chr8","chr",128706670,128706690
"chr8","chr",128706684,128706704
"chr8","chr",128706685,128706705
"chr8","chr",128706686,128706706
"chr8","chr",128706687,128706707
"chr8","chr",128706691,128706711
"chr8","chr",128706692,128706712
"chr8","chr",128706693,128706713
"chr8","chr",128706705,128706725
"chr8","chr",128706706,128706726
"chr8","chr",128706711,128706731
"chr8","chr",128706727,128706747
"chr8","chr",128706728,128706748
"chr8","chr",128706731,128706751
"chr8","chr",128706751,128706771
"chr8","chr",128706756,128706776
"chr8","chr",128706763,128706783
"chr8","chr",128706771,128706791
"chr8","chr",128706777,128706797
"chr8","chr",128706778,128706798
"chr8","chr",128706784,128706804
"chr8","chr",128706785,128706805
"chr8","chr",128706837,128706857
"chr8","chr",128706845,128706865
"chr8","chr",128706854,128706874
"chr8","chr",128706957,128706977
"chr8","chr",128706979,128706999
"chr8","chr",128706983,128707003
"chr8","chr",128706984,128707004
"chr8","chr",128706985,128707005
"chr8","chr",128707000,128707020
"chr8","chr",128707001,128707021
"chr8","chr",128707001,128707021
"chr8","chr",128707021,128707041
"chr8","chr",128707035,128707055
"chr8","chr",128707036,128707056
"chr8","chr",128707076,128707096
"chr8","chr",128707081,128707101
"chr8","chr",128707094,128707114
"chr8","chr",128707096,128707116
"chr8","chr",128707125,128707145
"chr8","chr",128707128,128707148
"chr8","chr",128707129,128707149
"chr8","chr",128707153,128707173
"chr8","chr",128707156,128707176
"chr8","chr",128707164,128707184
"chr8","chr",128707177,128707197
"chr8","chr",128707178,128707198
"chr8","chr",128707192,128707212
"chr8","chr",128707206,128707226
"chr8","chr",128707210,128707230
"chr8","chr",128707213,128707233
"chr8","chr",128707214,128707234
"chr8","chr",128707215,128707235
"chr8","chr",128707219,128707239
"chr8","chr",128707220,128707240
"chr8","chr",128707227,128707247
"chr8","chr",128707229,128707249
"chr8","chr",128707264,128707284
"chr8","chr",128707276,128707296
"chr8","chr",128707292,128707312
"chr8","chr",128707298,128707318
"chr8","chr",128707302,128707322
"chr8","chr",128707305,128707325
"chr8","chr",128707311,128707331
"chr8","chr",128707315,128707335
"chr8","chr",128707317,128707337
"chr8","chr",128707318,128707338
"chr8","chr",128707318,128707338
"chr8","chr",128707319,128707339
"chr8","chr",128707319,128707339
"chr8","chr",128707331,128707351
"chr8","chr",128707332,128707352
"chr8","chr",128707333,128707353
"chr8","chr",128707351,128707371
"chr8","chr",128707397,128707417
"chr8","chr",128707400,128707420
"chr8","chr",128707419,128707439
"chr8","chr",128707423,128707443
"chr8","chr",128707451,128707471
