"rawScores","guideScore","log2_rate_ratio","repl0_fc","chrom","label","start","end"
NA,NA,NA,NA,"chr8","chr",128703371,128703391
NA,NA,NA,NA,"chr8","chr",128703511,128703531
NA,NA,NA,NA,"chr8","chr",128703521,128703541
NA,NA,NA,NA,"chr8","chr",128703539,128703559
NA,NA,NA,NA,"chr8","chr",128703540,128703560
NA,NA,NA,NA,"chr8","chr",128703540,128703560
NA,NA,NA,NA,"chr8","chr",128703541,128703561
NA,NA,NA,NA,"chr8","chr",128703544,128703564
NA,NA,NA,NA,"chr8","chr",128703614,128703634
NA,NA,NA,NA,"chr8","chr",128703615,128703635
NA,NA,NA,NA,"chr8","chr",128703616,128703636
NA,NA,NA,NA,"chr8","chr",128703631,128703651
NA,NA,NA,NA,"chr8","chr",128703645,128703665
NA,NA,NA,NA,"chr8","chr",128703646,128703666
NA,NA,NA,NA,"chr8","chr",128703668,128703688
NA,NA,NA,NA,"chr8","chr",128703706,128703726
NA,NA,NA,NA,"chr8","chr",128703707,128703727
NA,NA,NA,NA,"chr8","chr",128703715,128703735
NA,NA,NA,NA,"chr8","chr",128703748,128703768
NA,NA,NA,NA,"chr8","chr",128703749,128703769
NA,NA,NA,NA,"chr8","chr",128703787,128703807
NA,NA,NA,NA,"chr8","chr",128703793,128703813
NA,NA,NA,NA,"chr8","chr",128703794,128703814
NA,NA,NA,NA,"chr8","chr",128703798,128703818
NA,NA,NA,NA,"chr8","chr",128703799,128703819
NA,NA,NA,NA,"chr8","chr",128703800,128703820
NA,NA,NA,NA,"chr8","chr",128703816,128703836
NA,NA,NA,NA,"chr8","chr",128703817,128703837
NA,NA,NA,NA,"chr8","chr",128703818,128703838
NA,NA,NA,NA,"chr8","chr",128703880,128703900
NA,NA,NA,NA,"chr8","chr",128703881,128703901
NA,NA,NA,NA,"chr8","chr",128703882,128703902
NA,NA,NA,NA,"chr8","chr",128703888,128703908
NA,NA,NA,NA,"chr8","chr",128703889,128703909
NA,NA,NA,NA,"chr8","chr",128703893,128703913
NA,NA,NA,NA,"chr8","chr",128703957,128703977
NA,NA,NA,NA,"chr8","chr",128703988,128704008
NA,NA,NA,NA,"chr8","chr",128704023,128704043
NA,NA,NA,NA,"chr8","chr",128704036,128704056
NA,NA,NA,NA,"chr8","chr",128704088,128704108
NA,NA,NA,NA,"chr8","chr",128704094,128704114
NA,NA,NA,NA,"chr8","chr",128704097,128704117
NA,NA,NA,NA,"chr8","chr",128704168,128704188
NA,NA,NA,NA,"chr8","chr",128704174,128704194
NA,NA,NA,NA,"chr8","chr",128704175,128704195
NA,NA,NA,NA,"chr8","chr",128704176,128704196
NA,NA,NA,NA,"chr8","chr",128704177,128704197
NA,NA,NA,NA,"chr8","chr",128704215,128704235
NA,NA,NA,NA,"chr8","chr",128704218,128704238
NA,NA,NA,NA,"chr8","chr",128704316,128704336
NA,NA,NA,NA,"chr8","chr",128704326,128704346
NA,NA,NA,NA,"chr8","chr",128704355,128704375
NA,NA,NA,NA,"chr8","chr",128704404,128704424
NA,NA,NA,NA,"chr8","chr",128704416,128704436
NA,NA,NA,NA,"chr8","chr",128704446,128704466
NA,NA,NA,NA,"chr8","chr",128704452,128704472
NA,NA,NA,NA,"chr8","chr",128704468,128704488
NA,NA,NA,NA,"chr8","chr",128704469,128704489
NA,NA,NA,NA,"chr8","chr",128704473,128704493
NA,NA,NA,NA,"chr8","chr",128704482,128704502
NA,NA,NA,NA,"chr8","chr",128704486,128704506
NA,NA,NA,NA,"chr8","chr",128704497,128704517
NA,NA,NA,NA,"chr8","chr",128704523,128704543
NA,NA,NA,NA,"chr8","chr",128704524,128704544
NA,NA,NA,NA,"chr8","chr",128704532,128704552
NA,NA,NA,NA,"chr8","chr",128704532,128704552
NA,NA,NA,NA,"chr8","chr",128704540,128704560
NA,NA,NA,NA,"chr8","chr",128704541,128704561
NA,NA,NA,NA,"chr8","chr",128704560,128704580
NA,NA,NA,NA,"chr8","chr",128704570,128704590
NA,NA,NA,NA,"chr8","chr",128704578,128704598
NA,NA,NA,NA,"chr8","chr",128704613,128704633
NA,NA,NA,NA,"chr8","chr",128704643,128704663
NA,NA,NA,NA,"chr8","chr",128704646,128704666
NA,NA,NA,NA,"chr8","chr",128704649,128704669
NA,NA,NA,NA,"chr8","chr",128704653,128704673
NA,NA,NA,NA,"chr8","chr",128704654,128704674
NA,NA,NA,NA,"chr8","chr",128704655,128704675
NA,NA,NA,NA,"chr8","chr",128704656,128704676
NA,NA,NA,NA,"chr8","chr",128704664,128704684
NA,NA,NA,NA,"chr8","chr",128704665,128704685
NA,NA,NA,NA,"chr8","chr",128704688,128704708
NA,NA,NA,NA,"chr8","chr",128704694,128704714
NA,NA,NA,NA,"chr8","chr",128704704,128704724
NA,NA,NA,NA,"chr8","chr",128704707,128704727
NA,NA,NA,NA,"chr8","chr",128704709,128704729
NA,NA,NA,NA,"chr8","chr",128704710,128704730
NA,NA,NA,NA,"chr8","chr",128704741,128704761
NA,NA,NA,NA,"chr8","chr",128704748,128704768
NA,NA,NA,NA,"chr8","chr",128704775,128704795
NA,NA,NA,NA,"chr8","chr",128704779,128704799
NA,NA,NA,NA,"chr8","chr",128704784,128704804
NA,NA,NA,NA,"chr8","chr",128704787,128704807
NA,NA,NA,NA,"chr8","chr",128704792,128704812
NA,NA,NA,NA,"chr8","chr",128704840,128704860
NA,NA,NA,NA,"chr8","chr",128705107,128705127
NA,NA,NA,NA,"chr8","chr",128705122,128705142
NA,NA,NA,NA,"chr8","chr",128705155,128705175
NA,NA,NA,NA,"chr8","chr",128705162,128705182
NA,NA,NA,NA,"chr8","chr",128705174,128705194
NA,NA,NA,NA,"chr8","chr",128705183,128705203
NA,NA,NA,NA,"NA","neg",NA,NA
NA,NA,NA,NA,"chr8","chr",128705246,128705266
NA,NA,NA,NA,"chr8","chr",128705247,128705267
NA,NA,NA,NA,"chr8","chr",128705256,128705276
NA,NA,NA,NA,"chr8","chr",128705262,128705282
NA,NA,NA,NA,"chr8","chr",128705279,128705299
NA,NA,NA,NA,"chr8","chr",128705284,128705304
NA,NA,NA,NA,"chr8","chr",128705305,128705325
NA,NA,NA,NA,"chr8","chr",128705308,128705328
NA,NA,NA,NA,"NA","neg",NA,NA
NA,NA,NA,NA,"chr8","chr",128705324,128705344
NA,NA,NA,NA,"chr8","chr",128705332,128705352
NA,NA,NA,NA,"chr8","chr",128705353,128705373
NA,NA,NA,NA,"chr8","chr",128705398,128705418
NA,NA,NA,NA,"chr8","chr",128705401,128705421
NA,NA,NA,NA,"chr8","chr",128705405,128705425
NA,NA,NA,NA,"chr8","chr",128705413,128705433
NA,NA,NA,NA,"chr8","chr",128705459,128705479
NA,NA,NA,NA,"chr8","chr",128705463,128705483
NA,NA,NA,NA,"chr8","chr",128705465,128705485
NA,NA,NA,NA,"chr8","chr",128705516,128705536
NA,NA,NA,NA,"chr8","chr",128705530,128705550
NA,NA,NA,NA,"chr8","chr",128705567,128705587
NA,NA,NA,NA,"chr8","chr",128705568,128705588
NA,NA,NA,NA,"chr8","chr",128705580,128705600
NA,NA,NA,NA,"chr8","chr",128705581,128705601
NA,NA,NA,NA,"chr8","chr",128705588,128705608
NA,NA,NA,NA,"chr8","chr",128705614,128705634
NA,NA,NA,NA,"chr8","chr",128705615,128705635
NA,NA,NA,NA,"chr8","chr",128705680,128705700
NA,NA,NA,NA,"chr8","chr",128705682,128705702
NA,NA,NA,NA,"chr8","chr",128705685,128705705
NA,NA,NA,NA,"chr8","chr",128705688,128705708
NA,NA,NA,NA,"chr8","chr",128705691,128705711
NA,NA,NA,NA,"chr8","chr",128705692,128705712
NA,NA,NA,NA,"chr8","chr",128705695,128705715
NA,NA,NA,NA,"chr8","chr",128705713,128705733
