"genomeScore","chrom","start","end","label","log2_FC","nrSupportGuides"
-8.93870271373867,"chr1",2020,2039,"chr",1,1
-14.4856668413176,"chr1",2040,2059,"chr",1,2
-17.0775231778404,"chr1",2060,2079,"chr",1,3
-21.7523206662157,"chr1",2080,2099,"chr",1,4
-25.3288178919567,"chr1",2100,2119,"chr",1,5
-29.260014018109,"chr1",2120,2139,"chr",1,6
-34.5116361365992,"chr1",2140,2159,"chr",1,7
-34.0349017113209,"chr1",2160,2179,"chr",1,8
-41.5434907041247,"chr1",2180,2199,"chr",1,9
-44.5306473191829,"chr1",2200,2219,"chr",1,10
-47.5426123126361,"chr1",2220,2239,"chr",1,11
-52.7190372557199,"chr1",2240,2259,"chr",1,12
-62.9399163517228,"chr1",2260,2279,"chr",1,13
-65.3388594383843,"chr1",2280,2299,"chr",1,14
-66.9894130689816,"chr1",2300,2319,"chr",1,15
-70.3216557054035,"chr1",2320,2339,"chr",1,16
-78.3511069601356,"chr1",2340,2359,"chr",1,17
-79.6368886978365,"chr1",2360,2379,"chr",1,18
-81.1619619747311,"chr1",2380,2399,"chr",1,19
-84.2386996549673,"chr1",2400,2419,"chr",1,20
-88.5293376500171,"chr1",2420,2439,"chr",1,21
-91.3934852430779,"chr1",2440,2459,"chr",1,22
-93.8485286557171,"chr1",2460,2479,"chr",1,23
-92.6512859773246,"chr1",2480,2499,"chr",1,24
-94.7896419351863,"chr1",2500,2519,"chr",1,25
-96.031716181449,"chr1",2520,2539,"chr",1,26
-98.2914043508943,"chr1",2540,2559,"chr",1,27
-106.421529676629,"chr1",2560,2579,"chr",1,28
-102.219481743968,"chr1",2580,2599,"chr",1,29
-105.884311230665,"chr1",2600,2619,"chr",1,30
-108.117851695839,"chr1",2620,2639,"chr",1,31
-114.27079227819,"chr1",2640,2659,"chr",1,32
-121.28656247636,"chr1",2660,2679,"chr",1,33
-122.649226354832,"chr1",2680,2699,"chr",1,34
-127.480127246441,"chr1",2700,2719,"chr",1,35
-132.228727980199,"chr1",2720,2739,"chr",1,36
-136.090472854747,"chr1",2740,2779,"chr",1,37
-139.622157310656,"chr1",2780,2799,"chr",1,38
-144.705900442489,"chr1",2800,2819,"chr",1,39
-147.093704163355,"chr1",2820,2839,"chr",1,40
-152.535786365013,"chr1",2840,2859,"chr",1,41
-151.138967739236,"chr1",2860,2899,"chr",1,42
-156.374267710746,"chr1",2900,2919,"chr",1,43
-164.499777566169,"chr1",2920,2939,"chr",1,44
-168.03612603363,"chr1",2940,2959,"chr",1,45
-167.205457567133,"chr1",2960,2979,"chr",1,46
-170.762446225323,"chr1",2980,2999,"chr",1,47
-174.927648148771,"chr1",3000,3019,"chr",1,48
-171.0245795389,"chr1",3020,3039,"chr",1,48
-174.125934249246,"chr1",3040,3059,"chr",1,48
-174.919947610258,"chr1",3060,3079,"chr",1,48
-176.081012467253,"chr1",3080,3099,"chr",1,48
-181.357225777544,"chr1",3100,3119,"chr",1,48
-176.011706318713,"chr1",3120,3139,"chr",1,48
-178.636092081695,"chr1",3140,3159,"chr",1,48
-190.518770531862,"chr1",3160,3179,"chr",1,48
-188.293307637693,"chr1",3180,3199,"chr",1,48
-193.643354827612,"chr1",3200,3219,"chr",1,48
-188.948799889403,"chr1",3220,3239,"chr",1,48
-190.568458308804,"chr1",3240,3259,"chr",1,48
-185.127868993231,"chr1",3260,3279,"chr",1,48
-189.880384087808,"chr1",3280,3299,"chr",1,48
-190.316608959099,"chr1",3300,3319,"chr",1,48
-190.088734847898,"chr1",3320,3339,"chr",1,48
-186.037210068125,"chr1",3340,3359,"chr",1,48
-184.573860563342,"chr1",3360,3379,"chr",1,48
-184.140859112684,"chr1",3380,3399,"chr",1,48
-178.239442622819,"chr1",3400,3419,"chr",1,48
-175.906956333317,"chr1",3420,3439,"chr",1,48
-174.648860238697,"chr1",3440,3459,"chr",1,48
-171.931692255021,"chr1",3460,3479,"chr",1,48
-177.008784753096,"chr1",3480,3499,"chr",1,48
-179.633031328862,"chr1",3500,3519,"chr",1,48
-184.296793592648,"chr1",3520,3539,"chr",1,48
-187.192819599906,"chr1",3540,3559,"chr",1,48
-179.418104959081,"chr1",3560,3579,"chr",1,48
-183.620152891742,"chr1",3580,3599,"chr",1,47
-179.955323405044,"chr1",3600,3619,"chr",1,46
-184.034026627541,"chr1",3620,3639,"chr",1,46
-180.176668866045,"chr1",3640,3659,"chr",1,46
-176.536131735627,"chr1",3660,3679,"chr",1,46
-175.406809940466,"chr1",3680,3699,"chr",1,46
-177.275396169434,"chr1",3700,3719,"chr",1,46
-179.826042861465,"chr1",3720,3739,"chr",1,46
-177.750654179542,"chr1",3740,3759,"chr",1,46
-183.999707789812,"chr1",3760,3779,"chr",1,47
-181.067361457247,"chr1",3780,3799,"chr",1,47
-178.276244620465,"chr1",3800,3819,"chr",1,47
-175.888440899599,"chr1",3820,3839,"chr",1,46
-168.497197200996,"chr1",3840,3859,"chr",1,46
-174.623770367255,"chr1",3860,3879,"chr",1,46
-170.983211742756,"chr1",3880,3899,"chr",1,47
-166.734682692539,"chr1",3900,3919,"chr",1,47
-161.650674700999,"chr1",3920,3939,"chr",1,47
-164.165986000589,"chr1",3940,3959,"chr",1,47
-171.273210823338,"chr1",3960,3979,"chr",1,47
-172.912174143449,"chr1",3980,3999,"chr",1,47
-170.229435382905,"chr1",4000,4019,"chr",1,47
-169.994082052662,"chr1",4020,4039,"chr",1,47
-167.035704749567,"chr1",4040,4059,"chr",1,47
-163.649835052033,"chr1",4060,4079,"chr",1,46
-157.90125873315,"chr1",4080,4099,"chr",1,46
-152.213206539679,"chr1",4100,4119,"chr",1,46
-155.373324252057,"chr1",4120,4139,"chr",1,46
-149.542906936451,"chr1",4140,4159,"chr",1,46
-144.971200222935,"chr1",4160,4179,"chr",1,46
-144.41584012807,"chr1",4180,4199,"chr",1,46
-138.062715847665,"chr1",4200,4219,"chr",1,46
-139.433763999889,"chr1",4220,4239,"chr",1,46
-133.078967653789,"chr1",4240,4259,"chr",1,46
-141.08176592367,"chr1",4260,4279,"chr",1,46
-131.552000006002,"chr1",4280,4299,"chr",1,46
-138.21090928655,"chr1",4300,4319,"chr",1,46
-137.684719090461,"chr1",4320,4339,"chr",1,46
-134.177347563007,"chr1",4340,4359,"chr",1,46
-142.272424108738,"chr1",4360,4379,"chr",1,46
-145.047946059158,"chr1",4380,4399,"chr",1,46
-150.315961707665,"chr1",4400,4419,"chr",1,46
-153.321924764826,"chr1",4420,4439,"chr",1,46
-151.715873266385,"chr1",4440,4459,"chr",1,45
-159.227707387669,"chr1",4460,4479,"chr",1,45
-162.564962295556,"chr1",4480,4499,"chr",1,45
