"chrom","start","end","enhancerStrength"
"chr8",128707377,128707427,0.328486008514574
"chr8",128707696,128707746,0.5884016184153
"chr8",128718372,128718422,0.552561937597052
"chr8",128722444,128722494,0.270549356977404
"chr8",128725056,128725106,0.713911704041775
"chr8",128731299,128731349,0.454205545514093
"chr8",128756874,128756924,0.574240288188384
"chr8",128761593,128761643,0.423876569115292
"chr8",128766734,128766784,0.3714161441653
"chr8",128767647,128767697,0.639739010976946
"chr8",128769724,128769774,0.603774286084628
"chr8",128777879,128777929,0.489787297273065
"chr8",128778886,128778936,0.466499535228055
"chr8",128783653,128783703,0.713616184198021
"chr8",128801737,128801787,0.655918415354022
"chr8",128805798,128805848,0.480330931872564
"chr8",128806780,128806830,0.481154605021216
"chr8",128807516,128807566,0.380713812589724
"chr8",128809798,128809848,0.504960261211024
"chr8",128811467,128811517,0.411840021094023
"chr8",128832395,128832445,0.439279298388828
"chr8",128832895,128832945,0.5764411391262
"chr8",128834807,128834857,0.73465016259768
"chr8",128842932,128842982,0.568982097082629
"chr8",128849148,128849198,0.315135052635075
