"chrom","start","end","label"
"chr1",2010,2030,"chr"
"chr1",2030,2050,"chr"
"chr1",2050,2070,"chr"
"chr1",2070,2090,"chr"
"chr1",2090,2110,"chr"
"chr1",2110,2130,"chr"
"chr1",2130,2150,"chr"
"chr1",2150,2170,"chr"
"chr1",2170,2190,"chr"
"chr1",2190,2210,"chr"
"chr1",2210,2230,"chr"
"chr1",2230,2250,"chr"
"chr1",2250,2270,"chr"
"chr1",2270,2290,"chr"
"chr1",2290,2310,"chr"
"chr1",2310,2330,"chr"
"chr1",2330,2350,"chr"
"chr1",2350,2370,"chr"
"chr1",2370,2390,"chr"
"chr1",2390,2410,"chr"
"chr1",2410,2430,"chr"
"chr1",2430,2450,"chr"
"chr1",2450,2470,"chr"
"chr1",2470,2490,"chr"
"chr1",2490,2510,"chr"
"chr1",2510,2530,"chr"
"chr1",2530,2550,"chr"
"chr1",2550,2570,"chr"
"chr1",2570,2590,"chr"
"chr1",2590,2610,"chr"
"chr1",2610,2630,"chr"
"chr1",2630,2650,"chr"
"chr1",2650,2670,"chr"
"chr1",2670,2690,"chr"
"chr1",2690,2710,"chr"
"chr1",2710,2730,"chr"
"chr1",2730,2750,"chr"
"chr1",2750,2770,"chr"
"chr1",2770,2790,"chr"
"chr1",2790,2810,"chr"
"chr1",2810,2830,"chr"
"chr1",2830,2850,"chr"
"chr1",2850,2870,"chr"
"chr1",2870,2890,"chr"
"chr1",2890,2910,"chr"
"chr1",2910,2930,"chr"
"chr1",2930,2950,"chr"
"chr1",2950,2970,"chr"
"chr1",2970,2990,"chr"
"chr1",2990,3010,"chr"
"chr1",3010,3030,"chr"
"chr1",3030,3050,"chr"
"chr1",3050,3070,"chr"
"chr1",3070,3090,"chr"
"chr1",3090,3110,"chr"
NA,NA,NA,"neg"
"chr1",3130,3150,"chr"
"chr1",3150,3170,"chr"
"chr1",3170,3190,"chr"
"chr1",3190,3210,"chr"
"chr1",3210,3230,"chr"
"chr1",3230,3250,"chr"
"chr1",3250,3270,"chr"
"chr1",3270,3290,"chr"
"chr1",3290,3310,"chr"
"chr1",3310,3330,"chr"
"chr1",3330,3350,"chr"
"chr1",3350,3370,"chr"
"chr1",3370,3390,"chr"
"chr1",3390,3410,"chr"
"chr1",3410,3430,"chr"
"chr1",3430,3450,"chr"
"chr1",3450,3470,"chr"
"chr1",3470,3490,"chr"
"chr1",3490,3510,"chr"
"chr1",3510,3530,"chr"
"chr1",3530,3550,"chr"
"chr1",3550,3570,"chr"
"chr1",3570,3590,"chr"
NA,NA,NA,"neg"
"chr1",3610,3630,"chr"
"chr1",3630,3650,"chr"
"chr1",3650,3670,"chr"
"chr1",3670,3690,"chr"
