"genomeScore","chrom","start","end","label","log2_FC","nrSupportGuides"
NA,"chr8",128702871,128703010,"chr",NA,1
NA,"chr8",128703011,128703020,"chr",NA,2
NA,"chr8",128703021,128703038,"chr",NA,3
NA,"chr8",128703039,128703039,"chr",NA,3
NA,"chr8",128703040,128703040,"chr",NA,4
NA,"chr8",128703041,128703043,"chr",NA,7
NA,"chr8",128703044,128703113,"chr",NA,8
NA,"chr8",128703114,128703114,"chr",NA,8
NA,"chr8",128703115,128703115,"chr",NA,9
NA,"chr8",128703116,128703130,"chr",NA,11
NA,"chr8",128703131,128703144,"chr",NA,12
NA,"chr8",128703145,128703145,"chr",NA,12
NA,"chr8",128703146,128703167,"chr",NA,14
NA,"chr8",128703168,128703205,"chr",NA,15
NA,"chr8",128703206,128703206,"chr",NA,15
NA,"chr8",128703207,128703214,"chr",NA,17
NA,"chr8",128703215,128703247,"chr",NA,18
NA,"chr8",128703248,128703248,"chr",NA,18
NA,"chr8",128703249,128703286,"chr",NA,20
NA,"chr8",128703287,128703292,"chr",NA,21
NA,"chr8",128703293,128703293,"chr",NA,21
NA,"chr8",128703294,128703297,"chr",NA,23
NA,"chr8",128703298,128703298,"chr",NA,23
NA,"chr8",128703299,128703299,"chr",NA,24
NA,"chr8",128703300,128703315,"chr",NA,26
NA,"chr8",128703316,128703316,"chr",NA,26
NA,"chr8",128703317,128703317,"chr",NA,27
NA,"chr8",128703318,128703379,"chr",NA,29
NA,"chr8",128703380,128703380,"chr",NA,29
NA,"chr8",128703381,128703381,"chr",NA,30
NA,"chr8",128703382,128703387,"chr",NA,32
NA,"chr8",128703388,128703388,"chr",NA,32
NA,"chr8",128703389,128703392,"chr",NA,34
NA,"chr8",128703393,128703456,"chr",NA,35
NA,"chr8",128703457,128703487,"chr",NA,36
NA,"chr8",128703488,128703522,"chr",NA,37
NA,"chr8",128703523,128703535,"chr",NA,38
NA,"chr8",128703536,128703587,"chr",NA,39
NA,"chr8",128703588,128703593,"chr",NA,40
NA,"chr8",128703594,128703596,"chr",NA,41
NA,"chr8",128703597,128703667,"chr",NA,42
NA,"chr8",128703668,128703673,"chr",NA,43
NA,"chr8",128703674,128703674,"chr",NA,43
NA,"chr8",128703675,128703675,"chr",NA,44
NA,"chr8",128703676,128703676,"chr",NA,45
NA,"chr8",128703677,128703714,"chr",NA,47
NA,"chr8",128703715,128703717,"chr",NA,48
NA,"chr8",128703718,128703815,"chr",NA,49
NA,"chr8",128703816,128703825,"chr",NA,50
NA,"chr8",128703826,128703854,"chr",NA,51
NA,"chr8",128703855,128703890,"chr",NA,52
NA,"chr8",128703891,128703903,"chr",NA,51
NA,"chr8",128703904,128703915,"chr",NA,52
NA,"chr8",128703916,128703945,"chr",NA,53
NA,"chr8",128703946,128703951,"chr",NA,54
NA,"chr8",128703952,128703967,"chr",NA,55
NA,"chr8",128703968,128703968,"chr",NA,55
NA,"chr8",128703969,128703972,"chr",NA,57
NA,"chr8",128703973,128703981,"chr",NA,58
NA,"chr8",128703982,128703985,"chr",NA,59
NA,"chr8",128703986,128703996,"chr",NA,60
NA,"chr8",128703997,128704022,"chr",NA,61
NA,"chr8",128704023,128704023,"chr",NA,61
NA,"chr8",128704024,128704030,"chr",NA,63
NA,"chr8",128704031,128704031,"chr",NA,62
NA,"chr8",128704032,128704039,"chr",NA,64
NA,"chr8",128704040,128704040,"chr",NA,64
NA,"chr8",128704041,128704058,"chr",NA,65
NA,"chr8",128704059,128704059,"chr",NA,64
NA,"chr8",128704060,128704060,"chr",NA,62
NA,"chr8",128704061,128704063,"chr",NA,62
NA,"chr8",128704064,128704069,"chr",NA,61
NA,"chr8",128704070,128704077,"chr",NA,62
