"genomeScore","chrom","start","end","label","log2_FC","nrSupportGuides"
-3.33474721193639,"chr6",30131634,30131653,"chr",1,1
-4.46926969758067,"chr6",30131654,30131658,"chr",1,2
-12.7280652155946,"chr6",30131659,30131832,"chr",1,3
-12.9179424884415,"chr6",30131833,30131883,"chr",1,4
-14.3974794117329,"chr6",30131884,30131964,"chr",1,5
-19.433579207544,"chr6",30131965,30132203,"chr",1,6
-19.433579207544,"chr6",30132204,30132204,"chr",1,6
-26.4006136118031,"chr6",30132205,30134201,"chr",1,8
-29.5292880112427,"chr6",30134202,30134318,"chr",1,9
-34.7186411225724,"chr6",30134319,30134451,"chr",1,10
-40.2095134588048,"chr6",30134452,30134468,"chr",1,11
-46.2724707908711,"chr6",30134469,30134532,"chr",1,12
-53.4441612848495,"chr6",30134533,30134561,"chr",1,13
-58.48233393417,"chr6",30134562,30134677,"chr",1,14
-54.257589624843,"chr6",30134678,30134912,"chr",1,15
-56.4110629943983,"chr6",30134913,30135008,"chr",1,16
-59.6714776220622,"chr6",30135009,30135022,"chr",1,17
-60.6825768540727,"chr6",30135023,30135132,"chr",1,18
-65.6376190313722,"chr6",30135133,30135155,"chr",1,19
-77.14196997912,"chr6",30135156,30135202,"chr",1,20
-79.4038982070126,"chr6",30135203,30135294,"chr",1,21
-83.3803576869003,"chr6",30135295,30135404,"chr",1,22
-84.5795348645328,"chr6",30135405,30135556,"chr",1,23
-87.8515047981228,"chr6",30135557,30135574,"chr",1,24
-87.8472814423257,"chr6",30135575,30135580,"chr",1,25
-84.5125342303893,"chr6",30135581,30135743,"chr",1,24
-90.6260713130693,"chr6",30135744,30135849,"chr",1,25
-92.5722905547678,"chr6",30135850,30135918,"chr",1,26
-92.5885621170501,"chr6",30135919,30135921,"chr",1,27
-92.3986848442032,"chr6",30135922,30135966,"chr",1,26
-87.3625850483921,"chr6",30135967,30135983,"chr",1,25
-87.4377560524978,"chr6",30135984,30136098,"chr",1,26
-86.1590908067369,"chr6",30136099,30136133,"chr",1,25
-83.0304164072972,"chr6",30136134,30136265,"chr",1,24
-88.2740044028804,"chr6",30136266,30136285,"chr",1,25
-92.9743246846252,"chr6",30136286,30136301,"chr",1,26
-96.4136682563431,"chr6",30136302,30136404,"chr",1,27
-91.2243151450134,"chr6",30136405,30136425,"chr",1,26
-85.7334428087809,"chr6",30136426,30136465,"chr",1,25
-93.4512430589687,"chr6",30136466,30136558,"chr",1,26
-101.188670992423,"chr6",30136559,30136573,"chr",1,27
-96.1504983431029,"chr6",30136574,30136792,"chr",1,26
-100.37524265243,"chr6",30136793,30136828,"chr",1,25
-99.2407201667857,"chr6",30136829,30136850,"chr",1,24
-97.0872467972303,"chr6",30136851,30136920,"chr",1,23
-93.5563404550156,"chr6",30136921,30136932,"chr",1,24
-92.0768035317243,"chr6",30136933,30137022,"chr",1,23
-93.7172223024145,"chr6",30137023,30137028,"chr",1,24
-92.706123070404,"chr6",30137029,30137097,"chr",1,23
-97.9794765922989,"chr6",30137098,30137145,"chr",1,24
-98.0965983670647,"chr6",30137146,30137149,"chr",1,25
-105.483538625993,"chr6",30137150,30137280,"chr",1,26
-106.69387157298,"chr6",30137281,30137286,"chr",1,27
-101.005502414482,"chr6",30137287,30137291,"chr",1,26
-96.0504602371827,"chr6",30137292,30137442,"chr",1,25
-99.9198906709143,"chr6",30137443,30137486,"chr",1,26
-106.440006283491,"chr6",30137487,30137540,"chr",1,27
-102.463546803604,"chr6",30137541,30137541,"chr",1,26
-105.135958563216,"chr6",30137542,30137627,"chr",1,27
-103.936781385584,"chr6",30137628,30137711,"chr",1,26
-109.123418139618,"chr6",30137712,30137808,"chr",1,27
-116.440278953623,"chr6",30137809,30137847,"chr",1,28
-119.024571988198,"chr6",30137848,30137926,"chr",1,29
-123.763734219631,"chr6",30137927,30138010,"chr",1,30
-128.573302679388,"chr6",30138011,30138015,"chr",1,31
-125.301332745798,"chr6",30138016,30138062,"chr",1,30
-119.187795663118,"chr6",30138063,30138076,"chr",1,29
-118.648103585993,"chr6",30138077,30138111,"chr",1,30
-112.585146253927,"chr6",30138112,30138150,"chr",1,29
-110.638927012228,"chr6",30138151,30138188,"chr",1,28
-119.17379706365,"chr6",30138189,30138194,"chr",1,29
-125.697419136878,"chr6",30138195,30138326,"chr",1,30
-125.622248132773,"chr6",30138327,30138471,"chr",1,29
-120.378660137189,"chr6",30138472,30138511,"chr",1,28
-124.983252689557,"chr6",30138512,30138676,"chr",1,29
-117.265452439369,"chr6",30138677,30138772,"chr",1,28
-109.528024505914,"chr6",30138773,30138823,"chr",1,27
-113.058930848129,"chr6",30138824,30138828,"chr",1,26
-109.798516220465,"chr6",30138829,30138877,"chr",1,25
-107.536587992572,"chr6",30138878,30138896,"chr",1,24
-110.305160055678,"chr6",30138897,30138963,"chr",1,25
-115.227065240135,"chr6",30138964,30138978,"chr",1,26
-113.586646469445,"chr6",30138979,30138999,"chr",1,25
-113.566525247926,"chr6",30139000,30139080,"chr",1,26
-106.897115740041,"chr6",30139081,30139117,"chr",1,27
-109.586475554034,"chr6",30139118,30139128,"chr",1,28
-102.199535295105,"chr6",30139129,30139182,"chr",1,27
-103.589368331123,"chr6",30139183,30139189,"chr",1,28
-103.59359168692,"chr6",30139190,30139331,"chr",1,27
-102.383258739933,"chr6",30139332,30139413,"chr",1,26
-101.693874244684,"chr6",30139414,30139616,"chr",1,27
-109.763374155438,"chr6",30139617,30139758,"chr",1,28
-116.213811116453,"chr6",30139759,30139812,"chr",1,29
-112.344380682721,"chr6",30139813,30139868,"chr",1,28
-112.693784586465,"chr6",30139869,30139885,"chr",1,29
-117.182625224784,"chr6",30139886,30139910,"chr",1,30
-124.838250328543,"chr6",30139911,30139948,"chr",1,31
-122.165838568931,"chr6",30139949,30139971,"chr",1,30
-122.149567006649,"chr6",30139972,30140039,"chr",1,29
-116.962930252615,"chr6",30140040,30140062,"chr",1,28
-117.823600850089,"chr6",30140063,30140081,"chr",1,29
-109.564805332075,"chr6",30140082,30140086,"chr",1,28
-110.532287632197,"chr6",30140087,30140103,"chr",1,29
-103.215426818191,"chr6",30140104,30140215,"chr",1,28
-112.374616318386,"chr6",30140216,30140301,"chr",1,29
-122.97284118278,"chr6",30140302,30140357,"chr",1,30
-123.357055488884,"chr6",30140358,30140428,"chr",1,31
-129.7471085249,"chr6",30140429,30140558,"chr",1,32
-125.007946293467,"chr6",30140559,30140609,"chr",1,31
-125.547638370592,"chr6",30140610,30140626,"chr",1,30
-120.847318088847,"chr6",30140627,30140644,"chr",1,29
-125.232689826422,"chr6",30140645,30140651,"chr",1,30
-132.885948501241,"chr6",30140652,30140849,"chr",1,31
-126.362326428012,"chr6",30140850,30140896,"chr",1,30
-121.757733875645,"chr6",30140897,30140905,"chr",1,29
-116.48438035375,"chr6",30140906,30141065,"chr",1,28
-113.715808290644,"chr6",30141066,30141202,"chr",1,27
-113.735929512163,"chr6",30141203,30141216,"chr",1,26
-107.215813899586,"chr6",30141217,30141221,"chr",1,25
-100.044123405608,"chr6",30141222,30141347,"chr",1,24
-97.3547635916145,"chr6",30141348,30141353,"chr",1,23
-94.7704705570401,"chr6",30141354,30141417,"chr",1,22
-99.2296763783662,"chr6",30141418,30141523,"chr",1,23
-104.549687714458,"chr6",30141524,30141637,"chr",1,24
-105.239072209706,"chr6",30141638,30141659,"chr",1,23
-96.7042021582841,"chr6",30141660,30141670,"chr",1,22
-102.360222504867,"chr6",30141671,30141679,"chr",1,23
-90.8558715571187,"chr6",30141680,30141685,"chr",1,22
-92.5509242637554,"chr6",30141686,30142031,"chr",1,23
-91.8622618894528,"chr6",30142032,30142373,"chr",1,24
-97.923478795878,"chr6",30142374,30142520,"chr",1,25
-89.8539788851248,"chr6",30142521,30142524,"chr",1,24
-83.4035419241095,"chr6",30142525,30142552,"chr",1,23
-89.0147108550533,"chr6",30142553,30142577,"chr",1,24
-97.1279607638443,"chr6",30142578,30142620,"chr",1,25
-92.3188743745473,"chr6",30142621,30142661,"chr",1,26
-100.573938727767,"chr6",30142662,30142684,"chr",1,27
-100.224534824023,"chr6",30142685,30142691,"chr",1,26
-95.3026296395658,"chr6",30142692,30142805,"chr",1,25
-97.9540610420205,"chr6",30142806,30142857,"chr",1,26
-102.447535063341,"chr6",30142858,30142915,"chr",1,27
-109.656211014392,"chr6",30142916,30143014,"chr",1,28
-108.795540416917,"chr6",30143015,30143033,"chr",1,27
-99.6363509167217,"chr6",30143034,30143046,"chr",1,26
-105.309019204914,"chr6",30143047,30143431,"chr",1,27
-104.924804898811,"chr6",30143432,30143576,"chr",1,26
-100.539433161236,"chr6",30143577,30143578,"chr",1,25
-99.1496001252186,"chr6",30143579,30143631,"chr",1,24
-95.7102565535007,"chr6",30143632,30143679,"chr",1,23
-91.2510507321747,"chr6",30143680,30143833,"chr",1,22
-85.9310393960832,"chr6",30143834,30143852,"chr",1,21
-81.4421987577642,"chr6",30143853,30143945,"chr",1,20
-75.7861784111818,"chr6",30143946,30144924,"chr",1,19
-80.0863155204161,"chr6",30144925,30145503,"chr",1,20
-78.5559304585371,"chr6",30145504,30146009,"chr",1,21
-79.2445928328396,"chr6",30146010,30147340,"chr",1,20
-82.6942728643743,"chr6",30147341,30147363,"chr",1,21
-86.3052975802964,"chr6",30147364,30147439,"chr",1,22
-93.1841855084309,"chr6",30147440,30148210,"chr",1,23
-87.1229686020058,"chr6",30148211,30148349,"chr",1,22
-81.511799671062,"chr6",30148350,30148435,"chr",1,21
-80.5443173709406,"chr6",30148436,30148599,"chr",1,20
-84.5304566764197,"chr6",30148600,30148636,"chr",1,21
-86.8461579474646,"chr6",30148637,30148935,"chr",1,22
-87.7068285449392,"chr6",30148936,30149057,"chr",1,23
-93.4471482256333,"chr6",30149058,30149166,"chr",1,24
-92.9831760168839,"chr6",30149167,30149251,"chr",1,25
-93.5815083702445,"chr6",30149252,30149426,"chr",1,26
-93.0704970553568,"chr6",30149427,30149538,"chr",1,27
-98.5538342594089,"chr6",30149539,30149612,"chr",1,28
-90.2987699061892,"chr6",30149613,30149623,"chr",1,27
-95.0791137171315,"chr6",30149624,30149631,"chr",1,28
-95.8961701302058,"chr6",30149632,30149646,"chr",1,29
-85.2979452658118,"chr6",30149647,30149658,"chr",1,28
-85.1808234910461,"chr6",30149659,30149791,"chr",1,27
-82.5293920885915,"chr6",30149792,30150055,"chr",1,26
-75.3207161375409,"chr6",30150056,30150058,"chr",1,25
-69.6480478493483,"chr6",30150059,30150069,"chr",1,24
-67.5140940587122,"chr6",30150070,30150092,"chr",1,25
-74.0296738910892,"chr6",30150093,30150286,"chr",1,26
-75.568442671019,"chr6",30150287,30150322,"chr",1,27
-71.2683055617846,"chr6",30150323,30150494,"chr",1,26
-72.7986906236637,"chr6",30150495,30150525,"chr",1,25
-65.1454319488454,"chr6",30150526,30150540,"chr",1,24
-61.6957519173107,"chr6",30150541,30150583,"chr",1,23
-61.6955973308821,"chr6",30150584,30150649,"chr",1,23
-57.709458025403,"chr6",30150650,30150848,"chr",1,22
-58.8109141672499,"chr6",30150849,30151093,"chr",1,23
-50.6976642584589,"chr6",30151094,30151352,"chr",1,22
-49.8369936609842,"chr6",30151353,30151424,"chr",1,21
-51.2623472882115,"chr6",30151425,30151468,"chr",1,22
-55.532942548241,"chr6",30151469,30151510,"chr",1,23
-56.9390396795326,"chr6",30151511,30151642,"chr",1,24
-64.7285771350894,"chr6",30151643,30151664,"chr",1,25
-58.9882574543953,"chr6",30151665,30151722,"chr",1,24
-62.828346168244,"chr6",30151723,30151826,"chr",1,25
-64.3273144042547,"chr6",30151827,30151895,"chr",1,26
-63.728982050894,"chr6",30151896,30151934,"chr",1,25
-69.9099541761934,"chr6",30151935,30152002,"chr",1,26
-70.8324073635209,"chr6",30152003,30152163,"chr",1,27
-78.1976699302106,"chr6",30152164,30152242,"chr",1,28
-86.7620937372857,"chr6",30152243,30152259,"chr",1,29
-91.048642884162,"chr6",30152260,30152336,"chr",1,30
-97.5791740225182,"chr6",30152337,30152398,"chr",1,31
-100.186566556401,"chr6",30152399,30152453,"chr",1,32
-101.778347300908,"chr6",30152454,30152531,"chr",1,32
-96.2950100968556,"chr6",30152532,30152543,"chr",1,31
-91.8015360755349,"chr6",30152544,30152544,"chr",1,30
-86.9919676157778,"chr6",30152545,30152631,"chr",1,29
-86.1749112027035,"chr6",30152632,30152673,"chr",1,28
-88.6027795127259,"chr6",30152674,30152700,"chr",1,29
-90.6639591521719,"chr6",30152701,30152785,"chr",1,30
-91.5761576220431,"chr6",30152786,30152830,"chr",1,31
-93.7101114126793,"chr6",30152831,30152881,"chr",1,30
-98.1608802791467,"chr6",30152882,30152906,"chr",1,31
-100.299515198417,"chr6",30152907,30152927,"chr",1,32
-108.305144425112,"chr6",30152928,30152946,"chr",1,33
-106.766375645182,"chr6",30152947,30152947,"chr",1,32
-103.15535092926,"chr6",30152948,30153013,"chr",1,31
-105.014586446515,"chr6",30153014,30153019,"chr",1,32
-102.69888517547,"chr6",30153020,30153125,"chr",1,31
-108.011258622329,"chr6",30153126,30153164,"chr",1,32
-106.316360502121,"chr6",30153165,30153246,"chr",1,31
-106.78033271087,"chr6",30153247,30153259,"chr",1,30
-104.939391549886,"chr6",30153260,30153285,"chr",1,31
-103.837935408039,"chr6",30153286,30153291,"chr",1,30
-109.401527120714,"chr6",30153292,30153399,"chr",1,31
-107.976173493486,"chr6",30153400,30153400,"chr",1,30
-114.645583001372,"chr6",30153401,30153434,"chr",1,29
-117.236376044605,"chr6",30153435,30153508,"chr",1,30
-120.703864294591,"chr6",30153509,30153514,"chr",1,31
-119.297767163299,"chr6",30153515,30153520,"chr",1,30
-124.730423274353,"chr6",30153521,30153541,"chr",1,31
-129.54995758331,"chr6",30153542,30153667,"chr",1,32
-133.799931624679,"chr6",30153668,30153676,"chr",1,33
-126.010394169123,"chr6",30153677,30153749,"chr",1,32
-119.494814336746,"chr6",30153750,30153750,"chr",1,31
-126.316435729855,"chr6",30153751,30153836,"chr",1,32
