"genomeScore","chrom","start","end","label","log2_FC","nrSupportGuides"
2.63954404805338,"chr6",30131634,30131653,"chr",1,1
-0.0539344802677406,"chr6",30131654,30131658,"chr",1,2
-3.6358837684094,"chr6",30131659,30131832,"chr",1,3
-10.0031549226127,"chr6",30131833,30131883,"chr",1,4
-15.6845952106721,"chr6",30131884,30131964,"chr",1,5
-14.2678302294519,"chr6",30131965,30132203,"chr",1,6
-14.2678302294519,"chr6",30132204,30132204,"chr",1,6
-18.875095853238,"chr6",30132205,30134201,"chr",1,8
-21.8362794613791,"chr6",30134202,30134318,"chr",1,9
-22.6318012672055,"chr6",30134319,30134451,"chr",1,10
-25.6637105944953,"chr6",30134452,30134468,"chr",1,11
-26.2444008139316,"chr6",30134469,30134532,"chr",1,12
-22.564522971427,"chr6",30134533,30134561,"chr",1,13
-26.8915930911995,"chr6",30134562,30134677,"chr",1,14
-26.8028837916035,"chr6",30134678,30135022,"chr",1,15
-29.4935078599865,"chr6",30135023,30135132,"chr",1,16
-29.4170189544378,"chr6",30135133,30135155,"chr",1,17
-28.752292903762,"chr6",30135156,30135202,"chr",1,18
-24.7485203808969,"chr6",30135203,30135294,"chr",1,19
-25.3658510337832,"chr6",30135295,30135404,"chr",1,20
-25.0431946375024,"chr6",30135405,30135556,"chr",1,21
-25.6237166778823,"chr6",30135557,30135574,"chr",1,22
-26.1199782404293,"chr6",30135575,30135580,"chr",1,23
-28.7595222884827,"chr6",30135581,30135743,"chr",1,22
-31.1511961691063,"chr6",30135744,30135849,"chr",1,23
-31.694264950731,"chr6",30135850,30135918,"chr",1,24
-36.5924561373342,"chr6",30135919,30135921,"chr",1,25
-30.2251849831309,"chr6",30135922,30135966,"chr",1,24
-31.6419499643511,"chr6",30135967,30135983,"chr",1,23
-37.3571133196977,"chr6",30135984,30136098,"chr",1,24
-36.9121820604096,"chr6",30136099,30136133,"chr",1,23
-33.9509984522685,"chr6",30136134,30136265,"chr",1,22
-38.3509144711127,"chr6",30136266,30136285,"chr",1,23
-41.4020132953528,"chr6",30136286,30136301,"chr",1,24
-44.7008212413329,"chr6",30136302,30136404,"chr",1,25
-43.9052994355065,"chr6",30136405,30136425,"chr",1,24
-40.8733901082168,"chr6",30136426,30136465,"chr",1,23
-45.5372244702359,"chr6",30136466,30136558,"chr",1,24
-47.517540625061,"chr6",30136559,30136573,"chr",1,25
-43.1904705052885,"chr6",30136574,30136792,"chr",1,24
-43.2791798048846,"chr6",30136793,30136828,"chr",1,23
-40.5857012765635,"chr6",30136829,30136920,"chr",1,22
-44.0476216566214,"chr6",30136921,30136932,"chr",1,23
-38.366181368562,"chr6",30136933,30137022,"chr",1,22
-38.4345567322081,"chr6",30137023,30137028,"chr",1,23
-35.743932663825,"chr6",30137029,30137097,"chr",1,22
-40.0552619204882,"chr6",30137098,30137145,"chr",1,23
-43.7858959398152,"chr6",30137146,30137149,"chr",1,24
-46.0713246161924,"chr6",30137150,30137280,"chr",1,25
-47.5713885747712,"chr6",30137281,30137286,"chr",1,26
-43.4090542102731,"chr6",30137287,30137291,"chr",1,25
-43.4855431158218,"chr6",30137292,30137442,"chr",1,24
-46.6260256176676,"chr6",30137443,30137486,"chr",1,25
-47.7489639909082,"chr6",30137487,30137540,"chr",1,26
-47.131633338022,"chr6",30137541,30137541,"chr",1,25
-48.9726854488946,"chr6",30137542,30137627,"chr",1,26
-49.2953418451753,"chr6",30137628,30137711,"chr",1,25
-48.7624979800242,"chr6",30137712,30137808,"chr",1,26
-46.459370019591,"chr6",30137809,30137847,"chr",1,27
-48.3423722021928,"chr6",30137848,30137926,"chr",1,28
-53.0330600116525,"chr6",30137927,30138010,"chr",1,29
-60.8291292274041,"chr6",30138011,30138015,"chr",1,30
-60.2486071870242,"chr6",30138016,30138062,"chr",1,29
-57.8569333064006,"chr6",30138063,30138076,"chr",1,28
-58.251979335596,"chr6",30138077,30138111,"chr",1,29
-57.6712891161596,"chr6",30138112,30138150,"chr",1,28
-57.1282203345349,"chr6",30138151,30138194,"chr",1,27
-58.1189350541827,"chr6",30138195,30138326,"chr",1,28
-52.4037716988362,"chr6",30138327,30138471,"chr",1,27
-48.003855679992,"chr6",30138472,30138511,"chr",1,26
-52.214062708318,"chr6",30138512,30138676,"chr",1,27
-47.5502283462989,"chr6",30138677,30138772,"chr",1,26
-45.5699121914738,"chr6",30138773,30138823,"chr",1,25
-42.1079918114159,"chr6",30138824,30138877,"chr",1,24
-46.111764334281,"chr6",30138878,30138896,"chr",1,23
-46.4386664642963,"chr6",30138897,30138963,"chr",1,24
-49.1225731292358,"chr6",30138964,30138978,"chr",1,25
-49.0541977655897,"chr6",30138979,30138999,"chr",1,24
-49.3171282176708,"chr6",30139000,30139080,"chr",1,25
-52.1876381839986,"chr6",30139081,30139117,"chr",1,26
-53.1205843113131,"chr6",30139118,30139128,"chr",1,27
-50.8351556349359,"chr6",30139129,30139182,"chr",1,26
-51.3525047703554,"chr6",30139183,30139189,"chr",1,27
-50.8562432078084,"chr6",30139190,30139331,"chr",1,26
-49.3561792492296,"chr6",30139332,30139413,"chr",1,25
-51.2572113496257,"chr6",30139414,30139616,"chr",1,26
-53.4213601616148,"chr6",30139617,30139758,"chr",1,27
