"genomeScore","chrom","start","end","label","log2_FC","nrSupportGuides"
0.308838964638715,"chr6",30131634,30131653,"chr",0.308838964638715,1
-0.0200395378435499,"chr6",30131654,30131658,"chr",-0.0200395378435499,2
-0.102296028262117,"chr6",30131659,30131832,"chr",-0.102296028262117,3
-0.246478708196042,"chr6",30131833,30131883,"chr",-0.246478708196042,4
-0.313998655693884,"chr6",30131884,30131964,"chr",-0.313998655693884,5
-0.245182659107565,"chr6",30131965,30132203,"chr",-0.245182659107565,6
-0.245182659107565,"chr6",30132204,30132204,"chr",-0.245182659107565,6
-0.22769770454769,"chr6",30132205,30134201,"chr",-0.22769770454769,8
-0.230183975753144,"chr6",30134202,30134318,"chr",-0.230183975753144,9
-0.212348013799008,"chr6",30134319,30134451,"chr",-0.212348013799008,10
-0.209010009100566,"chr6",30134452,30134468,"chr",-0.209010009100566,11
-0.181457014317237,"chr6",30134469,30134532,"chr",-0.181457014317237,12
-0.138266251058897,"chr6",30134533,30134561,"chr",-0.138266251058897,13
-0.155706098141594,"chr6",30134562,30134677,"chr",-0.155706098141594,14
-0.154030474365074,"chr6",30134678,30135022,"chr",-0.154030474365074,15
-0.151670126723537,"chr6",30135023,30135132,"chr",-0.151670126723537,16
-0.150429045239434,"chr6",30135133,30135155,"chr",-0.150429045239434,17
-0.14812516297453,"chr6",30135156,30135202,"chr",-0.14812516297453,18
-0.118869932650251,"chr6",30135203,30135294,"chr",-0.118869932650251,19
-0.106079320484516,"chr6",30135295,30135404,"chr",-0.106079320484516,20
-0.0903570674160675,"chr6",30135405,30135556,"chr",-0.0903570674160675,21
-0.0940561918452044,"chr6",30135557,30135574,"chr",-0.0940561918452044,22
-0.0917123790227,"chr6",30135575,30135580,"chr",-0.0917123790227,23
-0.109919258280037,"chr6",30135581,30135743,"chr",-0.109919258280037,22
-0.1188166876653,"chr6",30135744,30135849,"chr",-0.1188166876653,23
-0.112943166687965,"chr6",30135850,30135918,"chr",-0.112943166687965,24
-0.132950999239815,"chr6",30135919,30135921,"chr",-0.132950999239815,25
-0.110197843041565,"chr6",30135922,30135966,"chr",-0.110197843041565,24
-0.119288937253112,"chr6",30135967,30135983,"chr",-0.119288937253112,23
-0.139506937804425,"chr6",30135984,30136098,"chr",-0.139506937804425,24
-0.148722562440779,"chr6",30136099,30136133,"chr",-0.148722562440779,23
-0.144115672306415,"chr6",30136134,30136265,"chr",-0.144115672306415,22
-0.153249283218661,"chr6",30136266,30136285,"chr",-0.153249283218661,23
-0.152925557087127,"chr6",30136286,30136301,"chr",-0.152925557087127,24
-0.163702936176072,"chr6",30136302,30136404,"chr",-0.163702936176072,25
-0.168364543674585,"chr6",30136405,30136425,"chr",-0.168364543674585,24
-0.168048655916256,"chr6",30136426,30136465,"chr",-0.168048655916256,23
-0.17754771228157,"chr6",30136466,30136558,"chr",-0.17754771228157,24
-0.1714652524775,"chr6",30136559,30136573,"chr",-0.1714652524775,25
-0.162675300071702,"chr6",30136574,30136792,"chr",-0.162675300071702,24
-0.164071106966394,"chr6",30136793,30136828,"chr",-0.164071106966394,23
-0.155668973631874,"chr6",30136829,30136920,"chr",-0.155668973631874,22
-0.160549551733297,"chr6",30136921,30136932,"chr",-0.160549551733297,23
-0.141298238371845,"chr6",30136933,30137022,"chr",-0.141298238371845,22
-0.133141302176791,"chr6",30137023,30137028,"chr",-0.133141302176791,23
-0.133908410816623,"chr6",30137029,30137097,"chr",-0.133908410816623,22
-0.141419080056391,"chr6",30137098,30137145,"chr",-0.141419080056391,23
-0.146527783547176,"chr6",30137146,30137149,"chr",-0.146527783547176,24
-0.147020202341968,"chr6",30137150,30137280,"chr",-0.147020202341968,25
-0.158689146084842,"chr6",30137281,30137286,"chr",-0.158689146084842,26
-0.148119187505522,"chr6",30137287,30137291,"chr",-0.148119187505522,25
-0.148850331089344,"chr6",30137292,30137442,"chr",-0.148850331089344,24
-0.149506298503938,"chr6",30137443,30137486,"chr",-0.149506298503938,25
-0.148106380101452,"chr6",30137487,30137540,"chr",-0.148106380101452,26
-0.159508327732088,"chr6",30137541,30137541,"chr",-0.159508327732088,25
-0.155439982909156,"chr6",30137542,30137627,"chr",-0.155439982909156,26
-0.170621101983639,"chr6",30137628,30137711,"chr",-0.170621101983639,25
-0.167284171096294,"chr6",30137712,30137808,"chr",-0.167284171096294,26
-0.151686578532802,"chr6",30137809,30137847,"chr",-0.151686578532802,27
-0.163567658926015,"chr6",30137848,30137926,"chr",-0.163567658926015,28
-0.170049536129416,"chr6",30137927,30138010,"chr",-0.170049536129416,29
-0.196118633242326,"chr6",30138011,30138015,"chr",-0.196118633242326,30
-0.196959351462507,"chr6",30138016,30138062,"chr",-0.196959351462507,29
-0.1927593235097,"chr6",30138063,30138076,"chr",-0.1927593235097,28
-0.192108667723414,"chr6",30138077,30138111,"chr",-0.192108667723414,29
-0.203313474724228,"chr6",30138112,30138150,"chr",-0.203313474724228,28
-0.211663892891448,"chr6",30138151,30138194,"chr",-0.211663892891448,27
-0.199542825643912,"chr6",30138195,30138326,"chr",-0.199542825643912,28
-0.184543635834998,"chr6",30138327,30138471,"chr",-0.184543635834998,27
-0.17801882477911,"chr6",30138472,30138511,"chr",-0.17801882477911,26
-0.18134040279155,"chr6",30138512,30138676,"chr",-0.18134040279155,27
-0.173083264103387,"chr6",30138677,30138772,"chr",-0.173083264103387,26
-0.17898714598033,"chr6",30138773,30138823,"chr",-0.17898714598033,25
-0.175281515814318,"chr6",30138824,30138877,"chr",-0.175281515814318,24
-0.200629590988278,"chr6",30138878,30138896,"chr",-0.200629590988278,23
-0.189021605886227,"chr6",30138897,30138963,"chr",-0.189021605886227,24
-0.197969039919301,"chr6",30138964,30138978,"chr",-0.197969039919301,25
-0.208147387170705,"chr6",30138979,30138999,"chr",-0.208147387170705,24
-0.194051760221503,"chr6",30139000,30139080,"chr",-0.194051760221503,25
-0.204918319970066,"chr6",30139081,30139117,"chr",-0.204918319970066,26
-0.197770400914529,"chr6",30139118,30139128,"chr",-0.197770400914529,27
-0.199267791202897,"chr6",30139129,30139182,"chr",-0.199267791202897,26
-0.189238397653354,"chr6",30139183,30139189,"chr",-0.189238397653354,27
-0.194972624604344,"chr6",30139190,30139331,"chr",-0.194972624604344,26
-0.18475502000225,"chr6",30139332,30139413,"chr",-0.18475502000225,25
-0.188554457947285,"chr6",30139414,30139616,"chr",-0.188554457947285,26
-0.183318458357973,"chr6",30139617,30139758,"chr",-0.183318458357973,27
-0.198923097577508,"chr6",30139759,30139812,"chr",-0.198923097577508,28
-0.200170267248742,"chr6",30139813,30139868,"chr",-0.200170267248742,27
-0.198062985955171,"chr6",30139869,30139885,"chr",-0.198062985955171,28
-0.187982352944463,"chr6",30139886,30139910,"chr",-0.187982352944463,29
-0.20806725489318,"chr6",30139911,30139948,"chr",-0.20806725489318,30
-0.213389182222743,"chr6",30139949,30139971,"chr",-0.213389182222743,29
-0.199112403713405,"chr6",30139972,30140039,"chr",-0.199112403713405,28
-0.203380977965284,"chr6",30140040,30140062,"chr",-0.203380977965284,27
-0.196465070561964,"chr6",30140063,30140081,"chr",-0.196465070561964,28
-0.193859739505027,"chr6",30140082,30140086,"chr",-0.193859739505027,27
-0.215923511748088,"chr6",30140087,30140103,"chr",-0.215923511748088,28
-0.233322561372757,"chr6",30140104,30140215,"chr",-0.233322561372757,27
-0.239112102208298,"chr6",30140216,30140301,"chr",-0.239112102208298,28
-0.225524026885956,"chr6",30140302,30140357,"chr",-0.225524026885956,29
-0.234615605205596,"chr6",30140358,30140428,"chr",-0.234615605205596,30
-0.217724191895979,"chr6",30140429,30140558,"chr",-0.217724191895979,31
-0.21326359503169,"chr6",30140559,30140609,"chr",-0.21326359503169,30
-0.214621294663563,"chr6",30140610,30140626,"chr",-0.214621294663563,29
-0.217090631756481,"chr6",30140627,30140644,"chr",-0.217090631756481,28
-0.220200636663348,"chr6",30140645,30140651,"chr",-0.220200636663348,29
-0.205213529222154,"chr6",30140652,30140849,"chr",-0.205213529222154,30
-0.216694202300144,"chr6",30140850,30140896,"chr",-0.216694202300144,29
-0.214872515556757,"chr6",30140897,30140905,"chr",-0.214872515556757,28
-0.211473208602145,"chr6",30140906,30141065,"chr",-0.211473208602145,27
-0.222605333989187,"chr6",30141066,30141202,"chr",-0.222605333989187,26
-0.237279278811128,"chr6",30141203,30141216,"chr",-0.237279278811128,25
-0.242453064593288,"chr6",30141217,30141221,"chr",-0.242453064593288,24
-0.269517237316526,"chr6",30141222,30141347,"chr",-0.269517237316526,23
-0.281225997854978,"chr6",30141348,30141353,"chr",-0.281225997854978,22
-0.271553101107941,"chr6",30141354,30141417,"chr",-0.271553101107941,21
-0.271403120452983,"chr6",30141418,30141523,"chr",-0.271403120452983,22
-0.268722802784494,"chr6",30141524,30141637,"chr",-0.268722802784494,23
-0.268049275339555,"chr6",30141638,30141670,"chr",-0.268049275339555,22
-0.245460743898397,"chr6",30141671,30141679,"chr",-0.245460743898397,23
-0.25166536114509,"chr6",30141680,30141685,"chr",-0.25166536114509,22
-0.231187815277498,"chr6",30141686,30141795,"chr",-0.231187815277498,23
-0.214334288781934,"chr6",30141796,30142031,"chr",-0.214334288781934,24
-0.220465851146764,"chr6",30142032,30142373,"chr",-0.220465851146764,25
-0.229565917995201,"chr6",30142374,30142520,"chr",-0.229565917995201,26
-0.236861255953575,"chr6",30142521,30142524,"chr",-0.236861255953575,25
-0.2208867934306,"chr6",30142525,30142552,"chr",-0.2208867934306,24
-0.229810616327118,"chr6",30142553,30142577,"chr",-0.229810616327118,25
-0.238524445742583,"chr6",30142578,30142620,"chr",-0.238524445742583,26
-0.225873106677108,"chr6",30142621,30142661,"chr",-0.225873106677108,27
-0.23701760826114,"chr6",30142662,30142684,"chr",-0.23701760826114,28
-0.240567653343821,"chr6",30142685,30142691,"chr",-0.240567653343821,27
-0.233946891675773,"chr6",30142692,30142805,"chr",-0.233946891675773,26
-0.230118182409773,"chr6",30142806,30142857,"chr",-0.230118182409773,27
-0.209488516118571,"chr6",30142858,30142915,"chr",-0.209488516118571,28
-0.229152320099925,"chr6",30142916,30143014,"chr",-0.229152320099925,29
-0.236988632579482,"chr6",30143015,30143033,"chr",-0.236988632579482,28
-0.231120444720651,"chr6",30143034,30143046,"chr",-0.231120444720651,27
-0.221594736390981,"chr6",30143047,30143431,"chr",-0.221594736390981,28
-0.211347453424901,"chr6",30143432,30143576,"chr",-0.211347453424901,27
-0.207657710323719,"chr6",30143577,30143578,"chr",-0.207657710323719,26
-0.218825052122059,"chr6",30143579,30143631,"chr",-0.218825052122059,25
-0.210344427864196,"chr6",30143632,30143679,"chr",-0.210344427864196,24
-0.207826640958341,"chr6",30143680,30143833,"chr",-0.207826640958341,23
-0.207738951271095,"chr6",30143834,30143852,"chr",-0.207738951271095,22
-0.222120585681878,"chr6",30143853,30143945,"chr",-0.222120585681878,21
-0.245800962356326,"chr6",30143946,30144047,"chr",-0.245800962356326,20
-0.267858740407503,"chr6",30144048,30144924,"chr",-0.267858740407503,19
-0.2564358852535,"chr6",30144925,30145503,"chr",-0.2564358852535,20
-0.239283217767151,"chr6",30145504,30146009,"chr",-0.239283217767151,21
-0.232866211260374,"chr6",30146010,30147340,"chr",-0.232866211260374,20
-0.253367395384162,"chr6",30147341,30147363,"chr",-0.253367395384162,21
-0.238003691086372,"chr6",30147364,30147439,"chr",-0.238003691086372,22
-0.246937665305949,"chr6",30147440,30148210,"chr",-0.246937665305949,23
-0.237386305128669,"chr6",30148211,30148349,"chr",-0.237386305128669,22
-0.227548397475579,"chr6",30148350,30148435,"chr",-0.227548397475579,21
-0.198343549233822,"chr6",30148436,30148599,"chr",-0.198343549233822,20
-0.185350261601224,"chr6",30148600,30148636,"chr",-0.185350261601224,21
-0.161333235243947,"chr6",30148637,30148714,"chr",-0.161333235243947,22
-0.18174551154594,"chr6",30148715,30148935,"chr",-0.18174551154594,23
-0.166698644608091,"chr6",30148936,30149057,"chr",-0.166698644608091,24
-0.153277431804914,"chr6",30149058,30149166,"chr",-0.153277431804914,25
-0.159392851958479,"chr6",30149167,30149251,"chr",-0.159392851958479,26
-0.163768862836952,"chr6",30149252,30149426,"chr",-0.163768862836952,27
-0.15965209556734,"chr6",30149427,30149538,"chr",-0.15965209556734,28
-0.145080845820848,"chr6",30149539,30149547,"chr",-0.145080845820848,29
-0.138323808975214,"chr6",30149548,30149612,"chr",-0.138323808975214,30
-0.124544659249188,"chr6",30149613,30149623,"chr",-0.124544659249188,29
-0.128540200211959,"chr6",30149624,30149631,"chr",-0.128540200211959,30
