"genomeScore","chrom","start","end","label","log2_FC","nrSupportGuides"
0.0778279565737331,"chr6",30131634,30131653,"chr",0.0778279565737331,1
0.120057364053201,"chr6",30131654,30131658,"chr",0.120057364053201,2
-0.051699614135233,"chr6",30131659,30131832,"chr",-0.051699614135233,3
0.0211276902119088,"chr6",30131833,30131883,"chr",0.0211276902119088,4
0.043929829108933,"chr6",30131884,30131964,"chr",0.043929829108933,5
0.0117022564191612,"chr6",30131965,30132203,"chr",0.0117022564191612,6
0.0117022564191612,"chr6",30132204,30132204,"chr",0.0117022564191612,6
-0.0825378300165272,"chr6",30132205,30134201,"chr",-0.0825378300165272,8
-0.07298679879919,"chr6",30134202,30134318,"chr",-0.07298679879919,9
-0.0820624941357724,"chr6",30134319,30134451,"chr",-0.0820624941357724,10
-0.0858319448481623,"chr6",30134452,30134468,"chr",-0.0858319448481623,11
-0.0966332229446587,"chr6",30134469,30134532,"chr",-0.0966332229446587,12
-0.110113053108061,"chr6",30134533,30134561,"chr",-0.110113053108061,13
-0.110100443893632,"chr6",30134562,30134677,"chr",-0.110100443893632,14
-0.072345955521926,"chr6",30134678,30134912,"chr",-0.072345955521926,15
-0.0840987330984722,"chr6",30134913,30135008,"chr",-0.0840987330984722,16
-0.109719240956539,"chr6",30135009,30135022,"chr",-0.109719240956539,17
-0.0948180511552043,"chr6",30135023,30135132,"chr",-0.0948180511552043,18
-0.094261079983099,"chr6",30135133,30135155,"chr",-0.094261079983099,19
-0.137436631426465,"chr6",30135156,30135202,"chr",-0.137436631426465,20
-0.128514318023351,"chr6",30135203,30135294,"chr",-0.128514318023351,21
-0.125689782510507,"chr6",30135295,30135404,"chr",-0.125689782510507,22
-0.113353424040151,"chr6",30135405,30135556,"chr",-0.113353424040151,23
-0.111276130217487,"chr6",30135557,30135574,"chr",-0.111276130217487,24
-0.0975232856461763,"chr6",30135575,30135580,"chr",-0.0975232856461763,25
-0.104829587405339,"chr6",30135581,30135743,"chr",-0.104829587405339,24
-0.109266226062153,"chr6",30135744,30135849,"chr",-0.109266226062153,25
-0.104574388813914,"chr6",30135850,30135918,"chr",-0.104574388813914,26
-0.0950578656565095,"chr6",30135919,30135921,"chr",-0.0950578656565095,27
-0.107929691383811,"chr6",30135922,30135966,"chr",-0.107929691383811,26
-0.106269454757976,"chr6",30135967,30135983,"chr",-0.106269454757976,25
-0.0959224466174285,"chr6",30135984,30136098,"chr",-0.0959224466174285,26
-0.0920965877031437,"chr6",30136099,30136133,"chr",-0.0920965877031437,25
-0.0960765059799208,"chr6",30136134,30136265,"chr",-0.0960765059799208,24
-0.0975852705314904,"chr6",30136266,30136285,"chr",-0.0975852705314904,25
-0.0977678010309547,"chr6",30136286,30136301,"chr",-0.0977678010309547,26
-0.0943528976747361,"chr6",30136302,30136404,"chr",-0.0943528976747361,27
-0.0916840186558792,"chr6",30136405,30136425,"chr",-0.0916840186558792,26
-0.0904103213232319,"chr6",30136426,30136465,"chr",-0.0904103213232319,25
-0.106682327498854,"chr6",30136466,30136558,"chr",-0.106682327498854,26
-0.113287398659849,"chr6",30136559,30136573,"chr",-0.113287398659849,27
-0.113416278450379,"chr6",30136574,30136792,"chr",-0.113416278450379,26
-0.136201604855673,"chr6",30136793,30136828,"chr",-0.136201604855673,25
-0.148638620538521,"chr6",30136829,30136850,"chr",-0.148638620538521,24
-0.143779847659906,"chr6",30136851,30136920,"chr",-0.143779847659906,23
-0.133785377818671,"chr6",30136921,30136932,"chr",-0.133785377818671,24
-0.145477715319353,"chr6",30136933,30137022,"chr",-0.145477715319353,23
-0.147900967153251,"chr6",30137023,30137028,"chr",-0.147900967153251,24
-0.161222842919371,"chr6",30137029,30137097,"chr",-0.161222842919371,23
-0.161236518197828,"chr6",30137098,30137145,"chr",-0.161236518197828,24
-0.14729381170268,"chr6",30137146,30137149,"chr",-0.14729381170268,25
-0.15957561396264,"chr6",30137150,30137280,"chr",-0.15957561396264,26
-0.148035285113073,"chr6",30137281,30137286,"chr",-0.148035285113073,27
-0.133000209187705,"chr6",30137287,30137291,"chr",-0.133000209187705,26
-0.134950793599805,"chr6",30137292,30137442,"chr",-0.134950793599805,25
-0.133172319128456,"chr6",30137443,30137486,"chr",-0.133172319128456,26
-0.159266576091688,"chr6",30137487,30137540,"chr",-0.159266576091688,27
-0.162839346835954,"chr6",30137541,30137541,"chr",-0.162839346835954,26
-0.158711611599296,"chr6",30137542,30137627,"chr",-0.158711611599296,27
-0.170894614441871,"chr6",30137628,30137711,"chr",-0.170894614441871,26
-0.169370536607313,"chr6",30137712,30137808,"chr",-0.169370536607313,27
-0.18233566044323,"chr6",30137809,30137847,"chr",-0.18233566044323,28
-0.176191451349961,"chr6",30137848,30137926,"chr",-0.176191451349961,29
-0.17915469679219,"chr6",30137927,30138010,"chr",-0.17915469679219,30
-0.177195807972687,"chr6",30138011,30138015,"chr",-0.177195807972687,31
-0.180985722495236,"chr6",30138016,30138062,"chr",-0.180985722495236,30
-0.179787107621772,"chr6",30138063,30138076,"chr",-0.179787107621772,29
-0.167259720187917,"chr6",30138077,30138111,"chr",-0.167259720187917,30
-0.16559808012522,"chr6",30138112,30138150,"chr",-0.16559808012522,29
-0.171966638072266,"chr6",30138151,30138188,"chr",-0.171966638072266,28
-0.185937859288953,"chr6",30138189,30138194,"chr",-0.185937859288953,29
-0.194289319172733,"chr6",30138195,30138326,"chr",-0.194289319172733,30
-0.20660111489925,"chr6",30138327,30138471,"chr",-0.20660111489925,29
-0.209201311153896,"chr6",30138472,30138511,"chr",-0.209201311153896,28
-0.203621165503513,"chr6",30138512,30138676,"chr",-0.203621165503513,29
-0.192554689918302,"chr6",30138677,30138772,"chr",-0.192554689918302,28
-0.189130076624694,"chr6",30138773,30138823,"chr",-0.189130076624694,27
-0.200099980669095,"chr6",30138824,30138828,"chr",-0.200099980669095,26
-0.187318085228435,"chr6",30138829,30138877,"chr",-0.187318085228435,25
-0.197203503364575,"chr6",30138878,30138896,"chr",-0.197203503364575,24
-0.188072105082241,"chr6",30138897,30138963,"chr",-0.188072105082241,25
-0.194931725183065,"chr6",30138964,30138978,"chr",-0.194931725183065,26
-0.194583563817071,"chr6",30138979,30138999,"chr",-0.194583563817071,25
-0.178352275580891,"chr6",30139000,30139080,"chr",-0.178352275580891,26
-0.15408049811672,"chr6",30139081,30139117,"chr",-0.15408049811672,27
-0.148354726325112,"chr6",30139118,30139128,"chr",-0.148354726325112,28
-0.136567098764499,"chr6",30139129,30139182,"chr",-0.136567098764499,27
-0.128845750831756,"chr6",30139183,30139189,"chr",-0.128845750831756,28
-0.14223059286498,"chr6",30139190,30139331,"chr",-0.14223059286498,27
-0.15354766432039,"chr6",30139332,30139413,"chr",-0.15354766432039,26
-0.141608979391247,"chr6",30139414,30139616,"chr",-0.141608979391247,27
-0.157702173985628,"chr6",30139617,30139758,"chr",-0.157702173985628,28
-0.168260645345926,"chr6",30139759,30139812,"chr",-0.168260645345926,29
-0.171101723488826,"chr6",30139813,30139868,"chr",-0.171101723488826,28
-0.159077859028519,"chr6",30139869,30139885,"chr",-0.159077859028519,29
-0.158722914315137,"chr6",30139886,30139910,"chr",-0.158722914315137,30
-0.167095854859847,"chr6",30139911,30139948,"chr",-0.167095854859847,31
-0.170952700173637,"chr6",30139949,30139971,"chr",-0.170952700173637,30
-0.182101818677417,"chr6",30139972,30140039,"chr",-0.182101818677417,29
